Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start
1,GO,NA,0,1,0,0,515.4909410476685
2,GO,NA,0,1,0,0,540.8709301948547
3,NOGO,1.2316110134124756,0,0,0,1,559.2509641647339
4,NOGO,0.9533648490905762,0,0,0,1,617.8809502124786
5,NOGO,0.3306140899658203,0,0,0,1,642.5109450817108
6,NOGO,NA,0,0,1,0,666.480963230133
7,GO,0.6814460754394531,1,0,0,0,690.9909961223602
8,NOGO,NA,0,0,1,0,710.4109852313995
9,NOGO,0.8426129817962646,0,0,0,1,1663.4711990356445
10,GO,NA,0,1,0,0,1778.3311982154846
11,NOGO,NA,0,0,1,0,1984.0412130355835
12,GO,NA,0,1,0,0,2002.3111951351166
13,GO,0.9103488922119141,1,0,0,0,2031.191192150116
14,GO,0,1,0,0,0,2196.3612291812897
15,GO,1.1423509120941162,1,0,0,0,2216.5212512016296
16,NOGO,NA,0,0,1,0,2233.1612420082092
17,GO,0.8636629581451416,1,0,0,0,2250.721244096756
18,NOGO,NA,0,0,1,0,2278.3912451267242
19,NOGO,NA,0,0,1,0,2305.4812490940094
20,NOGO,0.6622250080108643,0,0,0,1,2324.6512451171875
21,NOGO,NA,0,0,1,0,2351.4812531471252
22,GO,0.8554999828338623,1,0,0,0,2363.8812470436096
23,NOGO,0.5536520481109619,0,0,0,1,2395.2412571907043
24,NOGO,1.5566539764404297,0,0,0,1,2420.881245136261
25,NOGO,NA,0,0,1,0,2536.381278038025
26,NOGO,NA,0,0,1,0,3318.2213711738586
27,GO,NA,0,1,0,0,3332.3313570022583
28,GO,NA,0,1,0,0,3348.151396036148
29,NOGO,1.336677074432373,0,0,0,1,3362.0714530944824
30,GO,0.5689089298248291,1,0,0,0,3387.0413880348206
31,GO,NA,0,1,0,0,3411.9413862228394
32,NOGO,0.9785521030426025,0,0,0,1,3428.9313790798187
33,GO,0.03133201599121094,1,0,0,0,3455.571384191513
34,GO,0.6526651382446289,1,0,0,0,3503.4113750457764
35,GO,0.6894378662109375,1,0,0,0,3520.231381177902
36,NOGO,NA,0,0,1,0,3545.461390018463
37,NOGO,NA,0,0,1,0,3567.4513800144196
38,GO,NA,0,1,0,0,3585.141393184662
39,GO,1.0054309368133545,1,0,0,0,3597.981381177902
40,NOGO,NA,0,0,1,0,3619.1913771629333
41,NOGO,NA,0,0,1,0,3634.011389017105
42,GO,NA,0,1,0,0,3648.8713760375977
43,NOGO,0.8669519424438477,0,0,0,1,3674.061385154724
44,GO,0.012913942337036133,1,0,0,0,3699.481383085251
45,NOGO,NA,0,0,1,0,3742.7913880348206
46,GO,0.47510719299316406,1,0,0,0,3763.67138504982
47,GO,NA,0,1,0,0,3786.541400194168
48,GO,0.0840151309967041,1,0,0,0,3801.5013852119446
49,GO,NA,0,1,0,0,3885.021367073059
50,NOGO,NA,0,0,1,0,3910.5513830184937
51,GO,0.35212087631225586,1,0,0,0,4036.521441221237
52,NOGO,1.6478309631347656,0,0,0,1,4279.821477174759
53,GO,NA,0,1,0,0,4829.711583137512
54,NOGO,NA,0,0,1,0,4844.791550159454
55,NOGO,NA,0,0,1,0,4870.891579151154
56,GO,NA,0,1,0,0,4888.521571159363
57,GO,0.1889951229095459,1,0,0,0,4906.821576118469
58,GO,1.3443620204925537,1,0,0,0,4957.201565027237
59,GO,0.389768123626709,1,0,0,0,4982.191564083099
60,GO,0.5986940860748291,1,0,0,0,5011.681538105011
61,NOGO,0.09996199607849121,0,0,0,1,5040.821552038193
62,NOGO,1.3179941177368164,0,0,0,1,5063.6515481472015
63,GO,1.0713069438934326,1,0,0,0,5116.411557197571
64,GO,0.49381208419799805,1,0,0,0,5138.321572065353
65,NOGO,NA,0,0,1,0,5187.991612195969
66,NOGO,NA,0,0,1,0,5208.221615076065
67,GO,0.2627730369567871,1,0,0,0,5236.761625051498
68,NOGO,NA,0,0,1,0,5267.551614046097
69,GO,0.49214887619018555,1,0,0,0,5279.121619224548
70,GO,0.3772118091583252,1,0,0,0,5303.841615200043
71,NOGO,NA,0,0,1,0,5321.211618185043
72,NOGO,NA,0,0,1,0,5347.611616134644
73,NOGO,NA,0,0,1,0,5360.4317371845245
74,NOGO,0.5399501323699951,0,0,0,1,5380.721665143967
75,NOGO,0.6216659545898438,0,0,0,1,5407.761641025543
76,GO,0.5126469135284424,1,0,0,0,5435.401626110077
77,NOGO,NA,0,0,1,0,5451.061639070511
78,GO,0.687330961227417,1,0,0,0,5473.721644163132
79,NOGO,1.3898990154266357,0,0,0,1,5511.2316291332245
80,NOGO,NA,0,0,1,0,5547.3216462135315
81,GO,0.5289080142974854,1,0,0,0,5611.09162902832
82,GO,0.45586204528808594,1,0,0,0,5625.1816301345825
83,NOGO,NA,0,0,1,0,5639.0016260147095
84,GO,0.5033619403839111,1,0,0,0,5870.371649026871
85,NOGO,NA,0,0,1,0,7366.041808128357
86,NOGO,0,0,0,0,1,7894.87184715271
87,NOGO,NA,0,0,1,0,7942.271836042404
88,GO,0.5067269802093506,1,0,0,0,7968.461834192276
89,GO,0.17885613441467285,1,0,0,0,8011.351845026016
90,GO,NA,0,1,0,0,8040.011840105057
91,NOGO,0.3505980968475342,0,0,0,1,8055.421832084656
92,NOGO,NA,0,0,1,0,8090.711842060089
93,NOGO,NA,0,0,1,0,8109.981854200363
94,NOGO,0.3602781295776367,0,0,0,1,8126.381879091263
95,GO,0.4905829429626465,1,0,0,0,8178.711876153946
96,GO,0.8723030090332031,1,0,0,0,8207.59187912941
97,GO,0.8289589881896973,1,0,0,0,8233.15187215805
98,GO,NA,0,1,0,0,8393.351870059967
99,NOGO,NA,0,0,1,0,8414.2418820858
100,NOGO,NA,0,0,1,0,8448.001872062683
101,NOGO,0.1560962200164795,0,0,0,1,8462.091861009598
102,NOGO,NA,0,0,1,0,8487.401869058609
103,NOGO,NA,0,0,1,0,8500.531866073608
104,NOGO,NA,0,0,1,0,8514.731846094131
105,GO,0.7792580127716064,1,0,0,0,8587.851999044418
106,GO,NA,0,1,0,0,13617.872470140457
107,NOGO,NA,0,0,1,0,13684.542468070984
108,GO,0.053807973861694336,1,0,0,0,13703.602459192276
109,NOGO,NA,0,0,1,0,13868.57250905037
110,GO,NA,0,1,0,0,13889.77250123024
111,NOGO,NA,0,0,1,0,13909.572496175766
112,NOGO,NA,0,0,1,0,13923.002496004105
113,NOGO,NA,0,0,1,0,14051.39250612259
114,NOGO,NA,0,0,1,0,14067.052507162094
115,NOGO,NA,0,0,1,0,14135.982515096664
116,NOGO,NA,0,0,1,0,14305.662540197372
117,GO,0.5102450847625732,1,0,0,0,14327.452553033829
118,GO,0.4522690773010254,1,0,0,0,14361.802560091019
