Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start
1,GO,NA,0,1,0,0,756.7367510795593
2,NOGO,0.4674201011657715,0,0,0,1,771.4767391681671
3,GO,NA,0,1,0,0,819.3367500305176
4,NOGO,NA,0,0,1,0,989.9567880630493
5,GO,0.5052230358123779,1,0,0,0,1015.4367761611938
6,GO,0.02291417121887207,1,0,0,0,1054.7767770290375
7,GO,NA,0,1,0,0,1204.456877231598
8,GO,0,1,0,0,0,1250.976867198944
9,NOGO,NA,0,0,1,0,1269.3068721294403
10,GO,0.06214094161987305,1,0,0,0,1334.26687002182
11,NOGO,0.6633181571960449,0,0,0,1,1701.036877155304
12,GO,NA,0,1,0,0,1723.7268710136414
13,GO,0.01185917854309082,1,0,0,0,1740.4568810462952
14,NOGO,NA,0,0,1,0,2122.0868620872498
15,GO,NA,0,1,0,0,2136.4968700408936
16,NOGO,NA,0,0,1,0,2158.826882123947
17,NOGO,0.07571983337402344,0,0,0,1,2174.636884212494
18,NOGO,0.672478199005127,0,0,0,1,2203.806878089905
19,NOGO,NA,0,0,1,0,2251.346880197525
20,GO,0.8015480041503906,1,0,0,0,2273.58690905571
21,GO,0.11025881767272949,1,0,0,0,2424.756877183914
22,GO,0.5281081199645996,1,0,0,0,2451.4768941402435
23,GO,NA,0,1,0,0,2526.9869120121
24,NOGO,NA,0,0,1,0,2570.5969099998474
25,NOGO,NA,0,0,1,0,2660.906937122345
26,GO,NA,0,1,0,0,2679.2969419956207
27,NOGO,NA,0,0,1,0,2693.946949005127
28,NOGO,0.7104930877685547,0,0,0,1,3101.7370250225067
29,GO,0,1,0,0,0,3167.847007036209
30,GO,0.036553144454956055,1,0,0,0,3251.8970301151276
31,NOGO,NA,0,0,1,0,3620.317071199417
32,NOGO,NA,0,0,1,0,3670.357075214386
33,GO,NA,0,1,0,0,3725.157103061676
34,GO,0.12017202377319336,1,0,0,0,3745.6970880031586
35,GO,0.490231990814209,1,0,0,0,3806.7971000671387
