Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start
1,NOGO,NA,0,0,1,0,17.477197885513306
2,GO,0.26189208030700684,1,0,0,0,41.226985931396484
3,GO,0,1,0,0,0,55.70684194564819
4,GO,NA,0,1,0,0,74.67668890953064
5,NOGO,NA,0,0,1,0,86.21656799316406
6,GO,NA,0,1,0,0,729.4506599903107
7,GO,0.9287278652191162,1,0,0,0,767.690346956253
8,NOGO,NA,0,0,1,0,807.969911813736
9,NOGO,NA,0,0,1,0,903.9290068149567
10,NOGO,1.5037269592285156,0,0,0,1,929.0888059139252
11,NOGO,0.5514850616455078,0,0,0,1,1115.1669778823853
12,NOGO,NA,0,0,1,0,1223.576064825058
13,NOGO,NA,0,0,1,0,1259.045686006546
14,GO,0.9635441303253174,1,0,0,0,1428.4141669273376
15,GO,NA,0,1,0,0,1465.7139139175415
16,NOGO,NA,0,0,1,0,1521.863343000412
17,GO,NA,0,1,0,0,1545.2131278514862
18,NOGO,NA,0,0,1,0,1561.3130149841309
19,GO,NA,0,1,0,0,1882.1100180149078
20,NOGO,NA,0,0,1,0,2403.8851478099823
21,GO,1.038856029510498,1,0,0,0,2786.5215368270874
22,NOGO,NA,0,0,1,0,2913.6703729629517
23,NOGO,NA,0,0,1,0,3707.9632189273834
24,NOGO,0.25406503677368164,0,0,0,1,3768.262597799301
25,GO,0.4029049873352051,1,0,0,0,4356.656936883926
26,NOGO,NA,0,0,1,0,4373.446926832199
27,NOGO,NA,0,0,1,0,4390.656662940979
28,NOGO,0.24469685554504395,0,0,0,1,4416.046451807022
29,NOGO,0.22873902320861816,0,0,0,1,4976.191108942032
30,GO,1.9041228294372559,1,0,0,0,5180.209147930145
31,GO,NA,0,1,0,0,5201.228973865509
32,NOGO,NA,0,0,1,0,5379.637408018112
33,GO,0.59403395652771,1,0,0,0,6322.878390789032
34,NOGO,NA,0,0,1,0,6341.098276853561
35,NOGO,1.1201598644256592,0,0,0,1,6554.796283006668
36,GO,1.3910019397735596,1,0,0,0,6577.506071805954
37,GO,0.6848580837249756,1,0,0,0,6606.385772943497
38,NOGO,NA,0,0,1,0,6624.8156208992
39,GO,0.9843080043792725,1,0,0,0,6721.0647168159485
40,GO,1.3838791847229004,1,0,0,0,6825.173779964447
41,GO,NA,0,1,0,0,7792.044747829437
42,NOGO,NA,0,0,1,0,7821.434503793716
43,NOGO,NA,0,0,1,0,7839.57434797287
44,NOGO,NA,0,0,1,0,7920.763744831085
45,NOGO,NA,0,0,1,0,7939.173427820206
46,GO,0.7308180332183838,1,0,0,0,7951.8533408641815
47,NOGO,NA,0,0,1,0,8031.722621917725
48,GO,0.6542601585388184,1,0,0,0,8046.432532787323
49,GO,0.30326294898986816,1,0,0,0,8096.461984872818
50,NOGO,0,0,0,0,1,8116.5317969322205
51,NOGO,NA,0,0,1,0,8204.730921983719
52,GO,0.2578608989715576,1,0,0,0,8289.180149793625
53,NOGO,0.5466899871826172,0,0,0,1,8303.149994850159
54,GO,0,1,0,0,0,8327.659747838974
55,NOGO,NA,0,0,1,0,8578.687485933304
56,NOGO,NA,0,0,1,0,8593.40729689598
57,GO,NA,0,1,0,0,8734.41592001915
58,GO,0,1,0,0,0,8756.845739841461
59,GO,0.8650169372558594,1,0,0,0,8784.595470905304
60,GO,0,1,0,0,0,8808.805215835571
61,NOGO,1.958730936050415,0,0,0,1,8861.54472899437
62,NOGO,NA,0,0,1,0,9020.753304958344
63,GO,0.7107391357421875,1,0,0,0,9172.471785783768
64,NOGO,NA,0,0,1,0,9193.791588783264
65,NOGO,NA,0,0,1,0,9209.771438837051
66,GO,NA,0,1,0,0,9262.590914964676
67,GO,0.4620649814605713,1,0,0,0,9278.320772886276
68,NOGO,1.3302228450775146,0,0,0,1,9346.320130825043
69,NOGO,NA,0,0,1,0,9369.279966831207
70,GO,NA,0,1,0,0,9382.299847841263
71,GO,NA,0,1,0,0,9395.99971485138
72,GO,0.7569999694824219,1,0,0,0,9408.359591007233
73,NOGO,NA,0,0,1,0,9448.119218826294
74,GO,0.3505258560180664,1,0,0,0,9473.428999900818
75,GO,0.12807488441467285,1,0,0,0,10000.624064922333
76,GO,1.087285041809082,1,0,0,0,10025.00390791893
77,NOGO,NA,0,0,1,0,10089.443233966827
78,NOGO,0.004264116287231445,0,0,0,1,10200.652277946472
79,GO,NA,0,1,0,0,10576.378674983978
80,NOGO,NA,0,0,1,0,10658.917841911316
81,NOGO,1.1606431007385254,0,0,0,1,10673.107741832733
82,GO,NA,0,1,0,0,10708.147451877594
83,GO,1.0151350498199463,1,0,0,0,11154.4232878685
84,GO,0.8779778480529785,1,0,0,0,11180.963106870651
85,NOGO,1.293083906173706,0,0,0,1,11210.332817792892
86,GO,1.461169958114624,1,0,0,0,11342.741534948349
87,NOGO,0.5001928806304932,0,0,0,1,11369.95123887062
88,GO,0.03472089767456055,1,0,0,0,11481.360197782516
89,NOGO,NA,0,0,1,0,11515.879937887192
90,NOGO,NA,0,0,1,0,11712.408143997192
91,GO,0.7835979461669922,1,0,0,0,11725.237946987152
92,NOGO,NA,0,0,1,0,11828.416974782944
93,NOGO,NA,0,0,1,0,12258.42310500145
94,NOGO,NA,0,0,1,0,12394.971753835678
95,NOGO,1.7117340564727783,0,0,0,1,12419.681569814682
96,GO,0,1,0,0,0,12496.790791988373
97,NOGO,NA,0,0,1,0,12524.400506973267
98,NOGO,NA,0,0,1,0,12546.990306854248
99,GO,NA,0,1,0,0,12561.660168886185
100,GO,0.9953169822692871,1,0,0,0,12575.51005101204
101,GO,0.5271940231323242,1,0,0,0,12735.878556013107
102,GO,NA,0,1,0,0,12845.667490959167
103,NOGO,NA,0,0,1,0,13539.30114197731
104,GO,NA,0,1,0,0,13586.040653944016
