Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start
1,GO,1.0170280933380127,1,0,0,0,5.4806718826293945
2,GO,NA,0,1,0,0,21.12057089805603
3,GO,NA,0,1,0,0,590.3351330757141
4,GO,0.8748779296875,1,0,0,0,706.9940469264984
5,NOGO,0.0047800540924072266,0,0,0,1,896.3422658443451
6,GO,0.7407379150390625,1,0,0,0,983.5614159107208
7,GO,0.29769206047058105,1,0,0,0,1031.6010029315948
8,GO,0,1,0,0,0,1580.3558790683746
9,GO,0.8894460201263428,1,0,0,0,1656.2653200626373
10,GO,NA,0,1,0,0,1693.7947928905487
11,NOGO,0.17432904243469238,0,0,0,1,1764.7042059898376
12,NOGO,NA,0,0,1,0,1994.5220220088959
13,GO,0.7830729484558105,1,0,0,0,2014.911866903305
14,NOGO,0,0,0,0,1,2037.9315540790558
15,NOGO,0.876046895980835,0,0,0,1,2106.6409668922424
16,GO,0.33556389808654785,1,0,0,0,2134.300759077072
17,NOGO,NA,0,0,1,0,2192.580183029175
18,GO,0.5983459949493408,1,0,0,0,2203.5300998687744
19,NOGO,NA,0,0,1,0,2223.439954996109
20,NOGO,0.07311201095581055,0,0,0,1,2247.8997020721436
21,NOGO,NA,0,0,1,0,2291.4492778778076
22,GO,0,1,0,0,0,2434.94798207283
23,NOGO,1.03395414352417,0,0,0,1,2477.7675199508667
24,NOGO,NA,0,0,1,0,2641.646064043045
25,GO,NA,0,1,0,0,2666.6859040260315
26,GO,NA,0,1,0,0,2707.505486011505
27,NOGO,NA,0,0,1,0,3082.9119210243225
28,NOGO,NA,0,0,1,0,3145.6512789726257
29,NOGO,0.15549206733703613,0,0,0,1,3336.2695009708405
30,GO,NA,0,1,0,0,3369.7691400051117
31,GO,0,1,0,0,0,3383.678987979889
32,NOGO,0.3454921245574951,0,0,0,1,3395.9510860443115
33,NOGO,NA,0,0,1,0,3422.5986149311066
34,NOGO,NA,0,0,1,0,3547.3575069904327
35,NOGO,0.0340118408203125,0,0,0,1,3563.307350873947
36,NOGO,NA,0,0,1,0,4062.182729959488
37,NOGO,0.04269003868103027,0,0,0,1,4219.861296892166
38,GO,0.5242929458618164,1,0,0,0,4243.9610550403595
39,GO,0.4872620105743408,1,0,0,0,4269.580801963806
40,GO,0.34203100204467773,1,0,0,0,4341.680114984512
41,NOGO,NA,0,0,1,0,4425.079326868057
42,NOGO,NA,0,0,1,0,4544.228209972382
43,NOGO,NA,0,0,1,0,4617.617501974106
44,NOGO,NA,0,0,1,0,4666.5470769405365
45,GO,NA,0,1,0,0,5404.030001878738
46,NOGO,NA,0,0,1,0,5571.13848400116
47,GO,NA,0,1,0,0,10172.215231895447
48,GO,NA,0,1,0,0,10730.05994796753
49,GO,1.7422590255737305,1,0,0,0,10742.759840965271
50,NOGO,NA,0,0,1,0,10767.509640932083
51,GO,0.36350202560424805,1,0,0,0,10779.819490909576
52,NOGO,NA,0,0,1,0,11314.134504079819
53,GO,1.6740899085998535,1,0,0,0,11493.822839975357
54,NOGO,0,0,0,0,1,11526.912447929382
55,GO,1.0661289691925049,1,0,0,0,11597.281777858734
56,GO,NA,0,1,0,0,11770.730123996735
57,NOGO,NA,0,0,1,0,12416.833960056305
58,NOGO,NA,0,0,1,0,12473.25349187851
