Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start
1,GO,NA,0,1,0,0,24.60123085975647
2,GO,1.0866971015930176,1,0,0,0,42.0510139465332
3,GO,0.9245820045471191,1,0,0,0,71.47073602676392
4,NOGO,NA,0,0,1,0,90.00049805641174
5,GO,0.8931050300598145,1,0,0,0,106.63033199310303
6,NOGO,0.00018310546875,0,0,0,1,129.55021905899048
7,NOGO,1.8357388973236084,0,0,0,1,170.749773979187
8,GO,0.0023131370544433594,1,0,0,0,204.59950399398804
9,GO,1.0121359825134277,1,0,0,0,227.45926594734192
10,GO,0.778533935546875,1,0,0,0,279.28877902030945
11,NOGO,0.9893641471862793,0,0,0,1,294.608610868454
12,NOGO,NA,0,0,1,0,451.1070899963379
13,GO,0.2830798625946045,1,0,0,0,485.5068700313568
14,GO,0.19206714630126953,1,0,0,0,526.5263650417328
15,GO,0.35303711891174316,1,0,0,0,543.8162610530853
16,GO,NA,0,1,0,0,878.2130479812622
17,GO,NA,0,1,0,0,898.5228719711304
18,GO,0.9425530433654785,1,0,0,0,937.0624709129333
19,GO,0.03273320198059082,1,0,0,0,1159.810401916504
20,NOGO,0.8298649787902832,0,0,0,1,1245.9995920658112
21,NOGO,0.6340599060058594,0,0,0,1,1269.0893869400024
22,NOGO,0.6265878677368164,0,0,0,1,1368.6884989738464
23,GO,0.7924880981445312,1,0,0,0,1561.4865970611572
24,NOGO,1.1478397846221924,0,0,0,1,1657.1056649684906
25,GO,0.17125797271728516,1,0,0,0,1830.0640399456024
26,NOGO,1.9330170154571533,0,0,0,1,2018.3823189735413
27,NOGO,NA,0,0,1,0,2064.771955013275
28,NOGO,0.2626650333404541,0,0,0,1,2144.071105003357
29,GO,0.03076004981994629,1,0,0,0,2238.900174856186
30,GO,0,1,0,0,0,2406.948642015457
31,GO,NA,0,1,0,0,2467.448075056076
32,NOGO,0.5113999843597412,0,0,0,1,2652.3563148975372
33,NOGO,NA,0,0,1,0,2977.383274078369
34,NOGO,NA,0,0,1,0,3171.70156788826
35,NOGO,NA,0,0,1,0,3440.1489400863647
36,NOGO,NA,0,0,1,0,3489.358440876007
37,NOGO,NA,0,0,1,0,3595.667517900467
38,GO,1.382551908493042,1,0,0,0,3783.705754995346
39,NOGO,0.6688599586486816,0,0,0,1,3810.235480070114
40,GO,NA,0,1,0,0,4239.501523971558
41,NOGO,NA,0,0,1,0,4266.651278018951
42,GO,0.19957995414733887,1,0,0,0,4288.601036071777
43,NOGO,0.13762903213500977,0,0,0,1,4388.410089969635
44,GO,0.6157259941101074,1,0,0,0,4440.23961687088
45,NOGO,1.436047077178955,0,0,0,1,4457.759408950806
46,GO,NA,0,1,0,0,4840.435822963715
47,NOGO,NA,0,0,1,0,4884.725381851196
48,GO,NA,0,1,0,0,4977.884584903717
49,NOGO,NA,0,0,1,0,5053.69385099411
50,GO,0,1,0,0,0,5106.363363027573
51,NOGO,0,0,0,0,1,5179.252696990967
52,NOGO,0.1564650535583496,0,0,0,1,5236.612185001373
53,NOGO,0.1571340560913086,0,0,0,1,5501.649679899216
54,NOGO,NA,0,0,1,0,6392.781414031982
55,GO,0,1,0,0,0,6407.531235933304
56,NOGO,0.00035500526428222656,0,0,0,1,6440.020881891251
57,NOGO,0,0,0,0,1,7027.2053010463715
58,NOGO,1.0469880104064941,0,0,0,1,7108.484490871429
59,GO,NA,0,1,0,0,7159.5440900325775
60,GO,0.8407690525054932,1,0,0,0,7224.75342798233
61,NOGO,0.23879218101501465,0,0,0,1,7245.153259038925
62,GO,0,1,0,0,0,7277.3229739665985
63,NOGO,NA,0,0,1,0,7602.949861049652
64,GO,0.21159696578979492,1,0,0,0,7700.628928899765
65,NOGO,1.516059160232544,0,0,0,1,7715.998772859573
66,GO,NA,0,1,0,0,7828.347696065903
67,NOGO,0.30381083488464355,0,0,0,1,7852.937489032745
68,GO,0.7917680740356445,1,0,0,0,8119.325079917908
69,NOGO,NA,0,0,1,0,8133.874927043915
70,NOGO,0.428117036819458,0,0,0,1,8192.74428486824
71,GO,NA,0,1,0,0,8266.89372086525
72,NOGO,NA,0,0,1,0,8481.661599874496
73,NOGO,0.1413881778717041,0,0,0,1,9838.038615942001
74,GO,NA,0,1,0,0,9873.898269891739
75,GO,0,1,0,0,0,9885.70813703537
76,GO,0.7165830135345459,1,0,0,0,9898.74811387062
77,GO,0,1,0,0,0,9945.697651863098
78,GO,1.4717869758605957,1,0,0,0,10038.216753959656
79,GO,0,1,0,0,0,10136.73584985733
80,GO,NA,0,1,0,0,10572.431870937347
81,NOGO,0.09191513061523438,0,0,0,1,10746.83005285263
82,GO,0,1,0,0,0,10847.949145078659
83,GO,0.6744928359985352,1,0,0,0,10875.678858995438
84,GO,0.8390889167785645,1,0,0,0,10928.188319921494
85,NOGO,NA,0,0,1,0,11004.547612905502
86,NOGO,0.04584193229675293,0,0,0,1,11086.986856937408
87,NOGO,0.7442920207977295,0,0,0,1,11124.516486883163
88,NOGO,0.36319398880004883,0,0,0,1,11253.49525308609
89,NOGO,0.31796813011169434,0,0,0,1,11336.284573078156
90,GO,NA,0,1,0,0,11978.938592910767
91,NOGO,0.9408600330352783,0,0,0,1,12068.08769106865
92,GO,0.5982460975646973,1,0,0,0,12178.016679048538
93,NOGO,0.0010199546813964844,0,0,0,1,12191.716552972794
94,NOGO,0,0,0,0,1,12216.546314001083
95,NOGO,NA,0,0,1,0,13136.547616958618
96,NOGO,NA,0,0,1,0,13308.166068077087
97,NOGO,1.8425049781799316,0,0,0,1,13325.035888910294
98,NOGO,1.451369047164917,0,0,0,1,13373.325505018234
