"Subject","Condition","Day_of_training","Stimuli","Hits","Misses","Rejects","False_alarms","Response_time_s","PC","DP","Response_bias","Trial_number","Condition_stimuli","Subject_condition"
"SRCF014","Experienced",1,"Tones",38,13,9,48,0.824262150511628,43.5185185185185,-0.334455790539087,-0.811759501376157,108,"Experienced.Tones","SRCF014.Experienced"
"SRCF014","Experienced",2,"Tones",32,2,9,32,0.739759098765625,54.6666666666667,0.713782248836517,-1.10834266826726,75,"Experienced.Tones","SRCF014.Experienced"
"SRCF014","Experienced",3,"Tones",47,8,49,14,0.848591566098361,81.3559322033898,1.77902013747378,-0.13929469326895,118,"Experienced.Tones","SRCF014.Experienced"
"SRCF014","Experienced",4,"Tones",29,6,24,15,0.916990030954545,71.6216216216216,1.19909080156477,-0.313704525901222,74,"Experienced.Tones","SRCF014.Experienced"
"SRCF014","Naive",1,"Tones",50,33,16,60,0.716858113895763,41.5094339622642,-0.53520889553234,-0.524034159977205,159,"Naive.Tones","SRCF014.Naive"
"SRCF014","Naive",2,"Tones",22,13,15,21,1.00889626214671,52.112676056338,0.113979445393899,-0.261649641267426,71,"Naive.Tones","SRCF014.Naive"
"SRCF014","Naive",3,"Tones",26,19,24,23,0.903114708102479,54.3478260869565,0.218006594283821,-0.0828896183263828,92,"Naive.Tones","SRCF014.Naive"
"SRCF014","Naive",4,"Tones",25,10,16,24,0.779693126678467,54.6666666666667,0.301483291959121,-0.397780636718538,75,"Naive.Tones","SRCF014.Naive"
"SRCF014","Naive",5,"Tones",26,9,19,24,0.809370241165161,57.6923076923077,0.488494902145769,-0.387154443166877,78,"Naive.Tones","SRCF014.Naive"
"SRCF014","Naive",6,"Tones",32,20,40,7,0.79777735318893,72.7272727272727,1.29767904552957,0.361150646484798,99,"Naive.Tones","SRCF014.Naive"
"SRCF014","Naive",7,"Tones",18,7,26,12,0.61547642548879,69.8412698412698,1.02415002421023,-0.0458097507344815,63,"Naive.Tones","SRCF014.Naive"
"SRCF014","Naive",8,"Tones",54,16,44,23,0.747382461250602,71.5328467153285,1.12824332730698,-0.166862653194139,137,"Naive.Tones","SRCF014.Naive"
"SRCF014","Naive",9,"Tones",69,39,78,15,0.763979216416677,73.134328358209,1.3266326948562,0.31122618010747,201,"Naive.Tones","SRCF014.Naive"
"SROF012","Experienced",1,"Tones",121,60,93,87,0.553252243048077,59.2797783933518,0.474805521864899,-0.195844476547145,361,"Experienced.Tones","SROF012.Experienced"
"SROF012","Experienced",2,"Tones",141,63,87,94,0.442386371519149,59.2207792207792,0.448318738510128,-0.272382442810986,385,"Experienced.Tones","SROF012.Experienced"
"SROF012","Experienced",3,"Tones",133,61,148,95,0.45923372945614,64.3020594965675,0.756333509998152,-0.10247767711742,437,"Experienced.Tones","SROF012.Experienced"
"SROF012","Experienced",4,"Tones",208,54,192,64,0.490498499963235,77.2200772200772,1.48752173748941,-0.0723291202517048,518,"Experienced.Tones","SROF012.Experienced"
"SROF012","Experienced",5,"Tones",263,26,193,90,0.462245756076487,79.7202797202797,1.80375281331833,-0.430432746271162,572,"Experienced.Tones","SROF012.Experienced"
"SROF012","Naive",1,"Tones",135,63,61,102,0.585488861623193,54.2936288088643,0.1515902833132,-0.394434505620975,361,"Naive.Tones","SROF012.Naive"
"SROF012","Naive",2,"Tones",65,61,114,55,0.642995448907216,60.6779661016949,0.489164743267685,0.205097653286044,295,"Naive.Tones","SROF012.Naive"
"SROF012","Naive",3,"Tones",127,61,149,76,0.589503735744307,66.8280871670702,0.869232379871959,-0.0180437212940665,413,"Naive.Tones","SROF012.Naive"
