Subject,Treatment,Day,Metric,Value
SROF020,TRAINING3,9,%correct,53.50877192982456
SROF020,TRAINING3,10,%correct,56.25
SROF020,TRAINING3,11,%correct,51.61290322580645
SROF020,TRAINING3,12,%correct,56.79012345679012
SROF020,TRAINING3,13,%correct,76.76767676767676
SROF020,TRAINING3,14,%correct,71.42857142857143
SROF012,TRAINING1,1,hit_rate,68.18181818181817
SROF012,TRAINING1,2,hit_rate,51.587301587301596
SROF012,TRAINING1,3,hit_rate,67.5531914893617
SROF012,TRAINING1,4,hit_rate,67.6923076923077
SROF012,TRAINING1,5,hit_rate,64.70588235294117
SROF012,TRAINING1,6,hit_rate,71.07843137254902
SROF012,TRAINING1,7,hit_rate,68.70748299319727
SROF017,TRAINING1,1,hit_rate,64.58923512747874
SROF017,TRAINING1,2,hit_rate,65.94202898550725
SROF017,TRAINING1,3,hit_rate,65.6140350877193
SROF017,TRAINING1,4,hit_rate,68.59205776173285
SROF017,TRAINING1,5,hit_rate,76.79324894514767
SROF017,TRAINING1,6,hit_rate,78.42323651452283
SROF017,TRAINING1,7,hit_rate,66.015625
SROF017,TRAINING1,8,hit_rate,69.28327645051195
SROF017,TRAINING1,9,hit_rate,78.57142857142857
SROF017,TRAINING1,10,hit_rate,73.04347826086956
SROF017,TRAINING1,11,hit_rate,82.75862068965517
SROF017,TRAINING1,12,hit_rate,76.58227848101265
SROF017,TRAINING1,13,hit_rate,76.49122807017544
SROF017,TRAINING1,14,hit_rate,84.23423423423422
SROF017,TRAINING1,15,hit_rate,73.38709677419355
SROF017,TRAINING1,16,hit_rate,84.47488584474885
SROF017,TRAINING1,17,hit_rate,82.23350253807106
SROF017,TRAINING1,18,hit_rate,79.33333333333333
SROF017,TRAINING1,19,hit_rate,78.33333333333333
SROF017,TRAINING1,20,hit_rate,77.87234042553192
SROF017,TRAINING1,21,hit_rate,80.13698630136986
SROF017,TRAINING1,22,hit_rate,81.14035087719299
SROF017,TRAINING1,23,hit_rate,91.63346613545816
SROF017,TRAINING1,24,hit_rate,92.5925925925926
SROF017,TRAINING1,25,hit_rate,81.48148148148148
SROF017,TRAINING1,26,hit_rate,80.28169014084507
SROF017,TRAINING1,27,hit_rate,85.29411764705883
SROF017,TRAINING1,28,hit_rate,68.18181818181817
SROF017,TRAINING1,29,hit_rate,83.15217391304348
SROF017,TRAINING1,30,hit_rate,93.60000000000001
SROF017,TRAINING1,31,hit_rate,91.48148148148148
SROF018,TRAINING1,1,hit_rate,68.0
SROF018,TRAINING1,2,hit_rate,72.72727272727273
SROF018,TRAINING1,3,hit_rate,50.0
SROF018,TRAINING1,4,hit_rate,52.94117647058824
SROF018,TRAINING1,5,hit_rate,53.75
SROF018,TRAINING1,6,hit_rate,60.97560975609756
SROF018,TRAINING1,7,hit_rate,73.91304347826086
SROF018,TRAINING1,8,hit_rate,68.62745098039215
SROF018,TRAINING1,9,hit_rate,71.62162162162163
SROF018,TRAINING1,10,hit_rate,66.15384615384615
SROF018,TRAINING1,11,hit_rate,80.76923076923077
SROF018,TRAINING1,12,hit_rate,60.273972602739725
SROF018,TRAINING1,13,hit_rate,80.0
SROF018,TRAINING1,14,hit_rate,55.00000000000001
SROF018,TRAINING1,15,hit_rate,93.75
SROF018,TRAINING1,16,hit_rate,64.81481481481481
SROF020,TRAINING1,1,hit_rate,73.33333333333333
SROF020,TRAINING1,2,hit_rate,75.80645161290323
SROF020,TRAINING1,3,hit_rate,37.3134328358209
SROF020,TRAINING1,4,hit_rate,48.4375
SROF020,TRAINING1,5,hit_rate,72.72727272727273
SROF020,TRAINING1,6,hit_rate,57.57575757575758
SROF020,TRAINING1,7,hit_rate,71.62162162162163
SROF020,TRAINING1,8,hit_rate,75.0
SROF020,TRAINING1,9,hit_rate,53.84615384615385
SROF020,TRAINING1,10,hit_rate,28.000000000000004
SROF020,TRAINING1,11,hit_rate,77.77777777777779
SROF020,TRAINING1,12,hit_rate,61.111111111111114
SROF020,TRAINING1,13,hit_rate,73.46938775510205
SROF020,TRAINING1,14,hit_rate,58.620689655172406
SROF012,TRAINING2,1,hit_rate,72.57383966244726
SROF012,TRAINING2,2,hit_rate,72.01834862385321
SROF012,TRAINING2,3,hit_rate,80.66298342541437
SROF012,TRAINING2,4,hit_rate,85.54216867469879
SROF012,TRAINING2,5,hit_rate,72.27722772277228
SROF012,TRAINING2,6,hit_rate,77.88018433179722
SROF017,TRAINING2,1,hit_rate,68.28358208955224
SROF017,TRAINING2,2,hit_rate,88.58267716535433
SROF017,TRAINING2,3,hit_rate,94.07665505226481
SROF017,TRAINING2,4,hit_rate,92.50936329588015
SROF017,TRAINING2,5,hit_rate,88.96103896103897
SROF018,TRAINING2,1,hit_rate,57.14285714285714
SROF018,TRAINING2,2,hit_rate,75.0
SROF018,TRAINING2,3,hit_rate,50.0
SROF018,TRAINING2,4,hit_rate,81.08108108108108
SROF018,TRAINING2,5,hit_rate,87.87878787878788
SROF018,TRAINING2,6,hit_rate,76.47058823529412
SROF018,TRAINING2,7,hit_rate,57.14285714285714
SROF018,TRAINING2,8,hit_rate,80.0
SROF018,TRAINING2,9,hit_rate,61.53846153846154
SROF020,TRAINING2,1,hit_rate,55.072463768115945
SROF020,TRAINING2,2,hit_rate,51.85185185185185
SROF020,TRAINING2,3,hit_rate,61.66666666666667
SROF020,TRAINING2,4,hit_rate,78.125
SROF020,TRAINING2,5,hit_rate,62.0253164556962
SROF020,TRAINING2,6,hit_rate,65.3061224489796
SROF020,TRAINING2,7,hit_rate,60.0
SROF020,TRAINING2,8,hit_rate,78.3132530120482
SROF012,TRAINING3,1,hit_rate,66.85082872928176
SROF012,TRAINING3,2,hit_rate,69.11764705882352
SROF012,TRAINING3,3,hit_rate,68.55670103092784
SROF012,TRAINING3,4,hit_rate,79.38931297709924
SROF012,TRAINING3,5,hit_rate,91.00346020761245
SROF017,TRAINING3,1,hit_rate,72.44897959183673
