"Subject","Condition","Day_of_training","Stimuli","Hits","Misses","Rejects","False_alarms","Response_time_s","PC","DP","Response_bias","Trial_number","Condition_stimuli","Subject_condition"
"Male_W147R","Naive",20,"Songs",14,7,21,12,0.432636875423077,64.8148148148148,0.748074978991544,-0.0359458326915648,54,"Naive.Songs","Male_W147R.Naive"
"Male_W147R","Naive",21,"Songs",89,23,55,51,0.414673689435714,66.0550458715596,0.860373933279305,-0.383316946679539,218,"Naive.Songs","Male_W147R.Naive"
"Male_W147R","Naive",22,"Songs",51,21,40,19,0.524261008,69.4656488549618,0.993988318246861,-0.0432319689535511,131,"Naive.Songs","Male_W147R.Naive"
"Male_W147R","Naive",23,"Songs",17,14,16,3,0.46165150405,66,1.05235916565258,0.408409708247192,50,"Naive.Songs","Male_W147R.Naive"
"Male_W147R","Naive",24,"Songs",19,11,22,3,0.625691403045455,74.5454545454545,1.43412709094023,0.387772198491994,55,"Naive.Songs","Male_W147R.Naive"
"Male_W147R","Naive",25,"Songs",19,7,27,4,0.488154898391304,80.7017543859649,1.66697136489006,0.244029884595251,57,"Naive.Songs","Male_W147R.Naive"
"male96P","Naive",1,"Songs",20,11,18,24,0.567055458409091,52.0547945205479,0.184347770773901,-0.267956006402619,73,"Naive.Songs","male96P.Naive"
"male96P","Naive",2,"Songs",33,20,23,24,0.71899569245614,56,0.280339978875074,-0.166283668253065,100,"Naive.Songs","male96P.Naive"
"male96P","Naive",3,"Songs",9,2,13,8,0.440249765647059,68.75,1.10102715657438,-0.261704223212725,32,"Naive.Songs","male96P.Naive"
"male96P","Naive",4,"Songs",20,6,16,12,0.44948667284375,66.6666666666667,0.877662850740286,-0.26509036345837,54,"Naive.Songs","male96P.Naive"
"male96P","Naive",5,"Songs",31,20,23,35,0.585193568969697,49.5412844036697,0.0105722867542111,-0.263022779539107,109,"Naive.Songs","male96P.Naive"
"male96P","Naive",6,"Songs",57,12,17,47,0.5152970965,55.6390977443609,0.305681871772405,-0.767982040482176,133,"Naive.Songs","male96P.Naive"
"male96P","Naive",7,"Songs",43,12,30,15,0.497559156896552,73,1.18216629842486,-0.170299460473997,100,"Naive.Songs","male96P.Naive"
"male96P","Naive",8,"Songs",43,6,25,25,0.415703009102941,68.6868686868687,1.1263911290388,-0.5631955645194,99,"Naive.Songs","male96P.Naive"
"male96P","Naive",9,"Songs",47,17,33,26,0.575360043383562,65.0406504065041,0.761886060082522,-0.234198074554712,123,"Naive.Songs","male96P.Naive"
"male96P","Naive",10,"Songs",46,17,38,17,0.679250168396825,71.1864406779661,1.09122586427909,-0.0568365210248771,118,"Naive.Songs","male96P.Naive"
"male96P","Naive",11,"Songs",17,8,8,8,0.50385880468,60.9756097560976,0.448425483305935,-0.224212741652967,41,"Naive.Songs","male96P.Naive"
"male96P","Naive",12,"Songs",22,9,28,11,0.622073397545455,71.4285714285714,1.09411273811636,0.0136466628169014,70,"Naive.Songs","male96P.Naive"
"male96P","Naive",13,"Songs",34,20,29,23,0.609793240561403,59.4339622641509,0.467002740101141,-0.0911373147016049,106,"Naive.Songs","male96P.Naive"
"male96P","Naive",14,"Songs",74,17,43,25,0.464638519808081,73.5849056603774,1.21010057258707,-0.272045188096238,159,"Naive.Songs","male96P.Naive"
"male96P","Naive",15,"Songs",24,3,24,14,0.587201946631579,73.8461538461539,1.47745269672354,-0.41162303201424,65,"Naive.Songs","male96P.Naive"
"maleB86L39","Naive",1,"Songs",99,31,75,71,0.670288844688235,63.0434782608696,0.73894040930147,-0.335359805070575,276,"Naive.Songs","maleB86L39.Naive"
"maleB86L39","Naive",2,"Songs",51,22,30,19,0.842222734785714,66.3934426229508,0.792094908262507,-0.1167284196838,122,"Naive.Songs","maleB86L39.Naive"
"maleB86L39","Naive",3,"Songs",24,20,23,15,1.035850366,57.3170731707317,0.371626755738015,0.0741762233620627,82,"Naive.Songs","maleB86L39.Naive"
"maleB86L39","Naive",4,"Songs",37,11,20,19,0.782010172107143,65.5172413793103,0.754813556563321,-0.346068796260234,87,"Naive.Songs","maleB86L39.Naive"
"maleB86L39","Naive",5,"Songs",37,13,21,17,0.7923047145,65.9090909090909,0.757805328781232,-0.250001553241574,88,"Naive.Songs","maleB86L39.Naive"
"maleB86L39","Naive",6,"Songs",22,6,14,19,0.549644551658537,59.0163934426229,0.572925539701555,-0.471829787140374,61,"Naive.Songs","maleB86L39.Naive"
"maleB86L39","Naive",7,"Songs",99,23,38,86,0.520393988908108,55.6910569105691,0.372480740427128,-0.687767769191272,246,"Naive.Songs","maleB86L39.Naive"
"maleB86L39","Naive",8,"Songs",3,3,4,9,0.812323252416667,36.8421052631579,-0.463707751457179,-0.231853875728589,19,"Naive.Songs","maleB86L39.Naive"
"maleB86L39","Naive",9,"Songs",19,4,12,8,0.462438468518518,72.0930232558139,1.1281869529049,-0.323053082566425,43,"Naive.Songs","maleB86L39.Naive"
"maleB86L39","Naive",10,"Songs",37,18,17,15,0.6388118955,62.0689655172414,0.514958825154584,-0.181447789456904,87,"Naive.Songs","maleB86L39.Naive"
"maleB86L39","Naive",11,"Songs",22,10,28,18,0.933193892325,64.1025641025641,0.742693208389645,-0.101442516797445,78,"Naive.Songs","maleB86L39.Naive"
"maleB86L39","Naive",12,"Songs",26,13,22,24,0.77828670976,56.4705882352941,0.365937928570377,-0.236326788756207,85,"Naive.Songs","maleB86L39.Naive"
"maleB86L39","Naive",13,"Songs",39,12,27,40,0.81148513364557,55.9322033898305,0.463121859019923,-0.473504963390063,118,"Naive.Songs","maleB86L39.Naive"
"maleB86L39","Naive",14,"Songs",17,15,22,9,0.768656877384615,61.9047619047619,0.609441329361669,0.228689041560446,63,"Naive.Songs","maleB86L39.Naive"
"maleB86L39","Naive",15,"Songs",64,22,36,41,0.731396918095238,61.3496932515337,0.567176309238808,-0.364015428305574,163,"Naive.Songs","maleB86L39.Naive"
"maleB86L39","Naive",16,"Songs",28,13,12,22,0.71680126662,53.3333333333333,0.0976013946566093,-0.414907054128874,75,"Naive.Songs","maleB86L39.Naive"
"maleB86L39","Naive",17,"Songs",66,16,33,46,0.628102166285714,61.4906832298137,0.64084025485722,-0.525512443143819,161,"Naive.Songs","maleB86L39.Naive"
"maleB86L39","Naive",18,"Songs",41,8,33,24,0.897308478,69.811320754717,1.14988748018964,-0.379221513051377,106,"Naive.Songs","maleB86L39.Naive"
"maleB86L39","Naive",19,"Songs",52,12,28,23,0.960800453786667,69.5652173913043,0.990227934791569,-0.374309805893102,115,"Naive.Songs","maleB86L39.Naive"
"maleB86L39","Naive",20,"Songs",34,13,27,34,0.989933006941176,56.4814814814815,0.43715339138771,-0.360555466561701,108,"Naive.Songs","maleB86L39.Naive"
"maleB86L39","Naive",21,"Songs",53,20,63,31,0.975154252285714,69.4610778443114,1.02725356727995,-0.0780693978005016,167,"Naive.Songs","maleB86L39.Naive"
"maleB86L39","Naive",22,"Songs",50,27,72,24,0.882673969202703,70.5202312138728,1.04480837429353,0.143997101302826,173,"Naive.Songs","maleB86L39.Naive"
"maleB86L39","Naive",23,"Songs",88,34,104,29,1.00690443904274,75.2941176470588,1.35308224256931,0.0951481147522013,255,"Naive.Songs","maleB86L39.Naive"
"maleG47","Naive",1,"Songs",82,124,117,82,0.700936791371951,49.1358024691358,-0.0359814531702067,0.239109439582674,405,"Naive.Songs","maleG47.Naive"
"maleG47","Naive",2,"Songs",106,82,91,73,0.695837248664804,55.9659090909091,0.296982854114639,-0.0113374536459512,352,"Naive.Songs","maleG47.Naive"
"maleG47","Naive",3,"Songs",141,89,110,109,0.611036237692,55.902004454343,0.291679087030519,-0.140142630257683,449,"Naive.Songs","maleG47.Naive"
"maleG47","Naive",4,"Songs",131,72,121,82,0.586750062995305,62.0689655172414,0.612746970796174,-0.0644294515179854,406,"Naive.Songs","maleG47.Naive"
"maleG47","Naive",5,"Songs",140,90,120,81,0.577914198072398,60.3248259860789,0.519083564512689,-0.0151542450456469,431,"Naive.Songs","maleG47.Naive"
"maleG47","Naive",6,"Songs",100,49,97,70,0.661778259323529,62.3417721518987,0.64272038590544,-0.118552972720514,316,"Naive.Songs","maleG47.Naive"
"maleG47","Naive",7,"Songs",56,27,37,31,0.634101612850575,61.5894039735099,0.556357206367877,-0.168978121492507,151,"Naive.Songs","maleG47.Naive"
"maleG47","Naive",8,"Songs",65,27,54,38,0.572435189213592,64.6739130434783,0.754134011896303,-0.159744461838377,184,"Naive.Songs","maleG47.Naive"
"maleG47","Naive",9,"Songs",101,44,94,61,0.680879585555555,65,0.77896908464112,-0.121175619404347,300,"Naive.Songs","maleG47.Naive"
"maleG47","Naive",10,"Songs",138,67,131,65,0.69341798373399,67.0822942643392,0.879411689602721,-0.00665057737981919,401,"Naive.Songs","maleG47.Naive"
"maleG47","Naive",11,"Songs",166,46,116,76,0.686190942095041,69.8019801980198,1.04066031127053,-0.257583837569476,404,"Naive.Songs","maleG47.Naive"
"maleG47","Naive",12,"Songs",114,45,104,46,0.78965471834375,70.5501618122977,1.07157140597002,-0.0341076993631244,309,"Naive.Songs","maleG47.Naive"
"maleG47","Naive",13,"Songs",118,44,98,54,0.834585505901163,68.7898089171974,0.972356573169757,-0.117568098636842,314,"Naive.Songs","maleG47.Naive"
"maleG47","Naive",14,"Songs",160,48,134,67,0.845868099066079,71.8826405867971,1.16054724154657,-0.151814420397968,409,"Naive.Songs","maleG47.Naive"
"maleG47","Naive",15,"Songs",105,51,116,36,0.834953913439716,71.7532467532468,1.15630752073136,0.132781776881945,308,"Naive.Songs","maleG47.Naive"
"SRCF006","Naive",1,"Tones",51,76,76,48,0.594204411362157,50.597609561753,0.0372503273308166,0.265910379006213,251,"Naive.Tones","SRCF006.Naive"
"SRCF006","Naive",2,"Tones",66,109,104,60,0.745985248732188,50.1474926253687,0.0295385475051726,0.325925553335209,339,"Naive.Tones","SRCF006.Naive"
"SRCF006","Naive",3,"Tones",39,104,99,55,0.890954859713291,46.4646464646465,-0.236205560551514,0.481739862404764,297,"Naive.Tones","SRCF006.Naive"
"SRCF006","Naive",4,"Tones",69,88,102,77,0.72456935333879,50.8928571428571,0.0236697856452591,0.163125047343103,336,"Naive.Tones","SRCF006.Naive"
"SRCF006","Naive",5,"Tones",56,91,109,30,0.514541343201038,57.6923076923077,0.478580520331197,0.54016040964255,286,"Naive.Tones","SRCF006.Naive"
"SRCF006","Naive",6,"Tones",67,34,50,37,0.692426706735904,62.2340425531915,0.603503518694256,-0.115532380041893,188,"Naive.Tones","SRCF006.Naive"
"SRCF006","Naive",7,"Tones",75,63,72,31,0.759920221454692,60.9958506224066,0.624533731137884,0.203855095182699,241,"Naive.Tones","SRCF006.Naive"
"SRCF006","Naive",8,"Tones",64,31,100,24,0.802647279067473,74.8858447488584,1.3010925104782,0.205449730253583,219,"Naive.Tones","SRCF006.Naive"
"SRCF009","Naive",1,"Tones",39,19,37,25,0.961231883615255,63.3333333333333,0.679549943444693,-0.0987345778363197,120,"Naive.Tones","SRCF009.Naive"
