Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start,Stimulus
77,NOGO,NA,0,0,1,0,4070.3420078754425,2800HZ_TONE.wav
78,GO,0.22063207626342773,1,0,0,0,4135.040088891983,3000HZ_TONE.wav
79,GO,0,1,0,0,0,4150.019526004791,3000HZ_TONE.wav
80,NOGO,NA,0,0,1,0,4165.039096832275,2800HZ_TONE.wav
81,GO,0.22379279136657715,1,0,0,0,4179.5786600112915,3000HZ_TONE.wav
82,NOGO,NA,0,0,1,0,4207.187779903412,2800HZ_TONE.wav
83,GO,0.027240991592407227,1,0,0,0,4219.167418003082,3000HZ_TONE.wav
84,NOGO,NA,0,0,1,0,4239.026788949966,2800HZ_TONE.wav
85,NOGO,NA,0,0,1,0,4283.9255039691925,2800HZ_TONE.wav
86,NOGO,NA,0,0,1,0,4299.294957876205,2800HZ_TONE.wav
87,NOGO,NA,0,0,1,0,4376.722518920898,2800HZ_TONE.wav
88,NOGO,NA,0,0,1,0,4418.171281814575,2800HZ_TONE.wav
89,GO,0.2191629409790039,1,0,0,0,4429.850857019424,3000HZ_TONE.wav
90,GO,NA,0,1,0,0,4484.659199953079,3000HZ_TONE.wav
91,GO,0.6872460842132568,1,0,0,0,4505.298573970795,3000HZ_TONE.wav
92,NOGO,0.3168330192565918,0,0,0,1,4528.5578780174255,2800HZ_TONE.wav
93,NOGO,NA,0,0,1,0,4552.46709394455,2800HZ_TONE.wav
94,GO,NA,0,1,0,0,4890.256578922272,3000HZ_TONE.wav
95,NOGO,NA,0,0,1,0,4969.814071893692,2800HZ_TONE.wav
96,GO,NA,0,1,0,0,4981.613704919815,3000HZ_TONE.wav
97,NOGO,0,0,0,0,1,5060.7614569664,2800HZ_TONE.wav
98,GO,0.6373069286346436,1,0,0,0,5226.356103897095,3000HZ_TONE.wav
99,GO,0,1,0,0,0,5247.705515861511,3000HZ_TONE.wav
100,NOGO,NA,0,0,1,0,5308.323566913605,2800HZ_TONE.wav
101,NOGO,0.17791390419006348,0,0,0,1,5319.823153972626,2800HZ_TONE.wav
102,GO,0.1730668544769287,1,0,0,0,5341.632467985153,3000HZ_TONE.wav
103,NOGO,0.19663310050964355,0,0,0,1,5597.004547834396,2800HZ_TONE.wav
104,GO,0.10534214973449707,1,0,0,0,5631.4435448646545,3000HZ_TONE.wav
105,GO,NA,0,1,0,0,5643.723091840744,3000HZ_TONE.wav
106,GO,NA,0,1,0,0,5657.38271188736,3000HZ_TONE.wav
107,GO,0.013940811157226562,1,0,0,0,5699.931365966797,3000HZ_TONE.wav
108,GO,0.39384913444519043,1,0,0,0,5711.560940027237,3000HZ_TONE.wav
109,GO,NA,0,1,0,0,5927.244278907776,3000HZ_TONE.wav
110,GO,0.15446090698242188,1,0,0,0,6079.539530038834,3000HZ_TONE.wav
111,GO,NA,0,1,0,0,6174.646549940109,3000HZ_TONE.wav
112,NOGO,NA,0,0,1,0,6225.1260669231415,2800HZ_TONE.wav
113,GO,1.0340931415557861,1,0,0,0,6420.6289620399475,3000HZ_TONE.wav
114,NOGO,NA,0,0,1,0,6666.611312866211,2800HZ_TONE.wav
115,GO,0.833935022354126,1,0,0,0,6684.440861940384,3000HZ_TONE.wav
116,NOGO,0.45012807846069336,0,0,0,1,6699.900265932083,2800HZ_TONE.wav
117,NOGO,0,0,0,0,1,6723.0395839214325,2800HZ_TONE.wav
118,GO,0.15868210792541504,1,0,0,0,6750.318751811981,3000HZ_TONE.wav
119,GO,0,1,0,0,0,6770.308089971542,3000HZ_TONE.wav
120,GO,0,1,0,0,0,6803.417007923126,3000HZ_TONE.wav
121,NOGO,NA,0,0,1,0,6814.476717948914,2800HZ_TONE.wav
122,NOGO,NA,0,0,1,0,6835.946064949036,2800HZ_TONE.wav
123,NOGO,NA,0,0,1,0,6871.645099878311,2800HZ_TONE.wav
124,GO,0.3584129810333252,1,0,0,0,7032.379931926727,3000HZ_TONE.wav
125,GO,0,1,0,0,0,7052.549338817596,3000HZ_TONE.wav
126,GO,0.8150649070739746,1,0,0,0,7071.518752813339,3000HZ_TONE.wav
127,GO,0.8606407642364502,1,0,0,0,7094.208035945892,3000HZ_TONE.wav
128,GO,1.1224908828735352,1,0,0,0,7144.226491928101,3000HZ_TONE.wav
129,GO,NA,0,1,0,0,7156.85610294342,3000HZ_TONE.wav
130,GO,0.3971250057220459,1,0,0,0,7172.935608863831,3000HZ_TONE.wav
131,GO,0.026365995407104492,1,0,0,0,7672.590131044388,3000HZ_TONE.wav
132,GO,0.8638238906860352,1,0,0,0,7682.739780902863,3000HZ_TONE.wav
133,NOGO,0.12035799026489258,0,0,0,1,7695.819380998611,2800HZ_TONE.wav
134,NOGO,NA,0,0,1,0,7719.498664855957,2800HZ_TONE.wav
135,NOGO,NA,0,0,1,0,7732.658257961273,2800HZ_TONE.wav
136,GO,0.020773887634277344,1,0,0,0,7747.697824954987,3000HZ_TONE.wav
137,GO,NA,0,1,0,0,7758.427485942841,3000HZ_TONE.wav
138,NOGO,NA,0,0,1,0,7777.006862878799,2800HZ_TONE.wav
139,NOGO,NA,0,0,1,0,7800.796133041382,2800HZ_TONE.wav
140,GO,0.012835025787353516,1,0,0,0,7817.51561498642,3000HZ_TONE.wav
141,NOGO,1.6194789409637451,0,0,0,1,7854.934495925903,2800HZ_TONE.wav
142,NOGO,NA,0,0,1,0,7952.551483869553,2800HZ_TONE.wav
143,NOGO,NA,0,0,1,0,7966.391027927399,2800HZ_TONE.wav
144,NOGO,NA,0,0,1,0,7981.350527048111,2800HZ_TONE.wav
145,NOGO,NA,0,0,1,0,8007.769773006439,2800HZ_TONE.wav
146,GO,0.12649798393249512,1,0,0,0,8037.968801021576,3000HZ_TONE.wav
147,GO,0.030057191848754883,1,0,0,0,8059.468102931976,3000HZ_TONE.wav
148,GO,0.07630801200866699,1,0,0,0,8094.827075958252,3000HZ_TONE.wav
149,GO,0.06084585189819336,1,0,0,0,8209.463500022888,3000HZ_TONE.wav
150,GO,0,1,0,0,0,8222.843045949936,3000HZ_TONE.wav
151,NOGO,0,0,0,0,1,8286.691067934036,2800HZ_TONE.wav
152,NOGO,NA,0,0,1,0,8311.050388813019,2800HZ_TONE.wav
153,GO,0,1,0,0,0,8350.159193992615,3000HZ_TONE.wav
154,NOGO,0,0,0,0,1,8364.038694858551,2800HZ_TONE.wav
155,NOGO,0.17435097694396973,0,0,0,1,8536.193436861038,2800HZ_TONE.wav
156,GO,0,1,0,0,0,8559.812659025192,3000HZ_TONE.wav
157,GO,0.18139195442199707,1,0,0,0,8574.702153921127,3000HZ_TONE.wav
158,GO,0.361799955368042,1,0,0,0,8589.631717920303,3000HZ_TONE.wav
159,GO,NA,0,1,0,0,8612.621040821075,3000HZ_TONE.wav
160,GO,0.3521289825439453,1,0,0,0,8910.251778841019,3000HZ_TONE.wav
161,NOGO,NA,0,0,1,0,8929.121126890182,2800HZ_TONE.wav
162,GO,0.04194808006286621,1,0,0,0,9145.944610834122,3000HZ_TONE.wav
163,NOGO,0.32153892517089844,0,0,0,1,9188.423137903214,2800HZ_TONE.wav
164,GO,0.17856907844543457,1,0,0,0,9335.048593044281,3000HZ_TONE.wav
165,NOGO,0.3559601306915283,0,0,0,1,9362.597811937332,2800HZ_TONE.wav
