Trial_number,Time_s
1,2375.250424861908
2,3288.111001968384
3,3307.7242159843445
4,3322.680032968521
5,3336.8699519634247
6,3405.53134393692
7,3420.3563239574432
8,5567.429267883301
9,6138.998563051224
10,6324.799422979355
11,6344.936064958572
12,6365.799658060074
13,6379.800132036209
14,6404.913321971893
15,6433.318974018097
16,6490.087306976318
17,6567.265460014343
18,6587.043119907379
19,6604.718595027924
20,6619.363815069199
21,6633.158731937408
22,6653.258396863937
23,6706.482913970947
24,6726.9857449531555
25,6771.3816130161285
26,6862.527368068695
27,6955.25036406517
28,7139.885356903076
29,7158.474331855774
30,7174.448471069336
31,7188.169189929962
32,7217.62125992775
33,7231.390511035919
34,7807.381016969681
35,7822.121003866196
36,7851.162540912628
37,7870.454283952713
38,7888.555634975433
39,7908.547548055649
40,7928.142695903778
41,8031.37584900856
42,8045.870568990707
43,8269.612720012665
44,8324.55594587326
45,8375.246505975723
46,8412.662003040314
47,8446.31858587265
48,8466.569913864136
49,8490.662270069122
50,8561.424354076385
51,8595.063482999802
52,8614.099572896957
53,8998.706505060196
54,9012.639663934708
55,9027.224130868912
56,9052.376616954803
57,9071.737165927887
58,9090.455033063889
59,9107.188143968582
60,9123.265173912048
61,9182.988086938858
62,9206.823402881622
63,9226.975596904755
64,9278.647189855576
65,9299.13029885292
66,9315.227191925049
67,9380.0775308609
68,9922.686922073364
69,9940.173687934875
70,10192.545245885849
71,10590.327378034592
72,10882.694589853287
73,10976.365711927414
74,11787.428293943405
75,12821.269299983978
76,12836.074266910553
77,13427.30160689354
78,13515.180981874466
79,13629.350733041763
80,13731.324136972427
