Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start
1,GO,0.6978869438171387,1,0,0,0,4.406856060028076
2,NOGO,1.097182035446167,0,0,0,1,22.316893100738525
3,GO,0,1,0,0,0,60.97701096534729
4,NOGO,0.9457159042358398,0,0,0,1,79.47707891464233
5,GO,0.5688462257385254,1,0,0,0,106.57710599899292
6,GO,1.0778148174285889,1,0,0,0,128.42716312408447
7,GO,1.2831099033355713,1,0,0,0,149.5672070980072
8,GO,NA,0,1,0,0,196.99730491638184
9,NOGO,NA,0,0,1,0,211.017352104187
10,NOGO,NA,0,0,1,0,229.64737391471863
11,GO,0.533203125,1,0,0,0,241.66740703582764
12,GO,NA,0,1,0,0,255.6574409008026
13,NOGO,NA,0,0,1,0,267.9974699020386
14,GO,NA,0,1,0,0,281.227490901947
15,GO,0,1,0,0,0,296.36753010749817
16,GO,0.1265718936920166,1,0,0,0,308.9175491333008
17,NOGO,1.6701951026916504,0,0,0,1,320.2075710296631
18,NOGO,0.44286012649536133,0,0,0,1,347.10762095451355
19,GO,1.1580579280853271,1,0,0,0,370.4876871109009
20,NOGO,NA,0,0,1,0,381.7177360057831
21,NOGO,NA,0,0,1,0,395.0377390384674
22,NOGO,1.62095308303833,0,0,0,1,407.5177700519562
23,GO,0.28449416160583496,1,0,0,0,431.5878119468689
24,GO,0.7881350517272949,1,0,0,0,441.72787404060364
25,GO,NA,0,1,0,0,455.81790804862976
26,GO,0,1,0,0,0,467.9779510498047
27,NOGO,NA,0,0,1,0,478.1579399108887
28,NOGO,NA,0,0,1,0,490.6479740142822
29,NOGO,NA,0,0,1,0,504.4280059337616
30,NOGO,1.586441993713379,0,0,0,1,517.9580450057983
31,NOGO,1.6797270774841309,0,0,0,1,543.878091096878
32,GO,1.2152540683746338,1,0,0,0,567.7581460475922
33,NOGO,NA,0,0,1,0,578.938169002533
34,NOGO,NA,0,0,1,0,591.1881890296936
35,GO,NA,0,1,0,0,745.8185389041901
36,NOGO,NA,0,0,1,0,811.5187740325928
37,GO,0.12060284614562988,1,0,0,0,831.8787279129028
38,NOGO,NA,0,0,1,0,842.9087519645691
39,NOGO,NA,0,0,1,0,854.9987750053406
40,NOGO,NA,0,0,1,0,868.708799123764
41,NOGO,NA,0,0,1,0,884.5788540840149
42,GO,0.4449350833892822,1,0,0,0,897.2888720035553
43,GO,0.21393704414367676,1,0,0,0,910.7588939666748
44,GO,1.1083221435546875,1,0,0,0,922.4589250087738
45,NOGO,NA,0,0,1,0,934.9089479446411
46,GO,0.325192928314209,1,0,0,0,946.67897605896
47,GO,1.3708741664886475,1,0,0,0,1089.2793259620667
48,NOGO,NA,0,0,1,0,1101.9793500900269
49,NOGO,NA,0,0,1,0,1114.4293880462646
50,NOGO,NA,0,0,1,0,1133.2594289779663
51,GO,0.1345210075378418,1,0,0,0,1146.239450931549
52,NOGO,NA,0,0,1,0,1156.7394709587097
53,NOGO,NA,0,0,1,0,1168.9795501232147
54,NOGO,NA,0,0,1,0,1182.7195360660553
55,GO,0.6949930191040039,1,0,0,0,1195.329566001892
56,NOGO,NA,0,0,1,0,1207.6395781040192
57,GO,NA,0,1,0,0,1221.9696080684662
58,GO,1.6772940158843994,1,0,0,0,1239.1496601104736
59,NOGO,1.8243350982666016,0,0,0,1,1251.4396760463715
60,GO,0.16914582252502441,1,0,0,0,1275.6097309589386
61,NOGO,0.4488210678100586,0,0,0,1,1286.089749097824
62,NOGO,1.0899150371551514,0,0,0,1,1312.2498149871826
63,NOGO,NA,0,0,1,0,1338.269860982895
64,GO,0.9439339637756348,1,0,0,0,1352.709888935089
65,NOGO,NA,0,0,1,0,1364.189913034439
66,NOGO,1.780656099319458,0,0,0,1,1376.4599449634552
67,GO,0.19258880615234375,1,0,0,0,1400.5100691318512
68,NOGO,NA,0,0,1,0,1416.2900669574738
69,GO,0.8468029499053955,1,0,0,0,1428.190083026886
70,GO,0.21883392333984375,1,0,0,0,1439.650109052658
71,GO,NA,0,1,0,0,1449.6501269340515
72,GO,NA,0,1,0,0,1461.6401951313019
73,GO,0.4163949489593506,1,0,0,0,1473.440199136734
74,NOGO,0.7995190620422363,0,0,0,1,1485.2002170085907
75,GO,0.09899401664733887,1,0,0,0,1511.9002809524536
76,NOGO,1.2118830680847168,0,0,0,1,1571.3204100131989
77,GO,0.3144359588623047,1,0,0,0,1595.4504771232605
78,GO,0.8078689575195312,1,0,0,0,1607.3004789352417
79,GO,1.1741788387298584,1,0,0,0,1618.310508966446
80,GO,1.1326439380645752,1,0,0,0,1689.760658979416
81,GO,NA,0,1,0,0,1703.130688905716
82,GO,0.3098640441894531,1,0,0,0,1715.1507151126862
83,NOGO,1.3171241283416748,0,0,0,1,1728.8307430744171
84,GO,0.14485692977905273,1,0,0,0,1752.5407979488373
85,GO,1.3239760398864746,1,0,0,0,1763.0308170318604
86,NOGO,NA,0,0,1,0,1775.7009160518646
87,NOGO,NA,0,0,1,0,1789.2108809947968
88,NOGO,0.3088340759277344,0,0,0,1,1801.5108950138092
89,GO,0.4162569046020508,1,0,0,0,1824.9809460639954
90,NOGO,0.4740030765533447,0,0,0,1,1837.0009789466858
91,GO,0.5179650783538818,1,0,0,0,1860.8610599040985
92,GO,0.524446964263916,1,0,0,0,1874.9810891151428
93,GO,NA,0,1,0,0,1888.9911229610443
94,GO,NA,0,1,0,0,1953.451267004013
95,GO,0.24621295928955078,1,0,0,0,1972.1013441085815
96,NOGO,1.102051019668579,0,0,0,1,1983.6913330554962
97,GO,0.28357601165771484,1,0,0,0,2007.5214030742645
98,NOGO,1.7305240631103516,0,0,0,1,2019.4414100646973
99,NOGO,1.6980488300323486,0,0,0,1,2045.8414719104767
100,NOGO,1.695162057876587,0,0,0,1,2070.0315129756927
