Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start,Stimulus
1,NOGO,1.1943509578704834,0,0,0,1,1565.1859521865845,Song1Pk43(-9.5)63db.wav
2,NOGO,1.0599439144134521,0,0,0,1,1629.905755996704,Song1Pk43(-9.5)63db.wav
3,GO,0.40674519538879395,1,0,0,0,1771.0954229831696,Song2Pea30(-5.5)63db.wav
4,GO,0.8487389087677002,1,0,0,0,1798.0453741550446,Song2Pea30(-5.5)63db.wav
5,NOGO,NA,0,0,1,0,1946.5349411964417,Song1Pk43(-9.5)63db.wav
6,NOGO,NA,0,0,1,0,2104.6945130825043,Song1Pk43(-9.5)63db.wav
7,GO,NA,0,1,0,0,2153.5044009685516,Song2Pea30(-5.5)63db.wav
8,GO,0.6326470375061035,1,0,0,0,2185.254324197769,Song2Pea30(-5.5)63db.wav
9,GO,0.23635196685791016,1,0,0,0,2211.3442401885986,Song2Pea30(-5.5)63db.wav
10,NOGO,0.9299349784851074,0,0,0,1,2249.524129152298,Song1Pk43(-9.5)63db.wav
11,NOGO,1.9206571578979492,0,0,0,1,2795.812752008438,Song1Pk43(-9.5)63db.wav
12,GO,0.4298419952392578,1,0,0,0,2831.342651128769,Song2Pea30(-5.5)63db.wav
13,GO,NA,0,1,0,0,2859.9125649929047,Song2Pea30(-5.5)63db.wav
14,NOGO,NA,0,0,1,0,2904.9924731254578,Song1Pk43(-9.5)63db.wav
15,GO,NA,0,1,0,0,2925.102399110794,Song2Pea30(-5.5)63db.wav
16,GO,NA,0,1,0,0,2955.492316007614,Song2Pea30(-5.5)63db.wav
17,NOGO,0.751690149307251,0,0,0,1,3000.5622251033783,Song1Pk43(-9.5)63db.wav
18,GO,0.20405888557434082,1,0,0,0,3055.5120689868927,Song2Pea30(-5.5)63db.wav
19,GO,0.5133049488067627,1,0,0,0,4785.967590093613,Song2Pea30(-5.5)63db.wav
20,NOGO,NA,0,0,1,0,4857.747438192368,Song1Pk43(-9.5)63db.wav
21,GO,0.2657160758972168,1,0,0,0,4897.337309122086,Song2Pea30(-5.5)63db.wav
22,NOGO,NA,0,0,1,0,4948.457173109055,Song1Pk43(-9.5)63db.wav
23,GO,0.5326659679412842,1,0,0,0,5039.246967077255,Song2Pea30(-5.5)63db.wav
24,NOGO,NA,0,0,1,0,5061.636897087097,Song1Pk43(-9.5)63db.wav
25,GO,0.21037697792053223,1,0,0,0,5081.296835184097,Song2Pea30(-5.5)63db.wav
26,NOGO,0.866563081741333,0,0,0,1,5094.976828098297,Song1Pk43(-9.5)63db.wav
27,GO,0.5627288818359375,1,0,0,0,5119.316740036011,Song2Pea30(-5.5)63db.wav
28,NOGO,1.057966947555542,0,0,0,1,5139.446676969528,Song1Pk43(-9.5)63db.wav
29,GO,0.9556808471679688,1,0,0,0,5168.326639175415,Song2Pea30(-5.5)63db.wav
30,GO,1.1703259944915771,1,0,0,0,5203.876538991928,Song2Pea30(-5.5)63db.wav
31,GO,1.2696788311004639,1,0,0,0,5243.086421966553,Song2Pea30(-5.5)63db.wav
32,NOGO,NA,0,0,1,0,5266.136383056641,Song1Pk43(-9.5)63db.wav
33,NOGO,NA,0,0,1,0,5488.725811004639,Song1Pk43(-9.5)63db.wav
34,NOGO,0.5296890735626221,0,0,0,1,5524.775828123093,Song1Pk43(-9.5)63db.wav
35,GO,0.06506109237670898,1,0,0,0,5548.955646038055,Song2Pea30(-5.5)63db.wav
36,NOGO,1.624492883682251,0,0,0,1,5559.425628185272,Song1Pk43(-9.5)63db.wav
37,GO,NA,0,1,0,0,5584.645546197891,Song2Pea30(-5.5)63db.wav
38,NOGO,NA,0,0,1,0,5602.77551317215,Song1Pk43(-9.5)63db.wav
39,GO,0.39756011962890625,1,0,0,0,5617.805485010147,Song2Pea30(-5.5)63db.wav
40,GO,NA,0,1,0,0,5637.665428161621,Song2Pea30(-5.5)63db.wav
41,GO,NA,0,1,0,0,5668.345329046249,Song2Pea30(-5.5)63db.wav
42,NOGO,1.0958189964294434,0,0,0,1,5705.185293197632,Song1Pk43(-9.5)63db.wav
43,NOGO,NA,0,0,1,0,5743.375128984451,Song1Pk43(-9.5)63db.wav
44,GO,0.07958793640136719,1,0,0,0,6234.313853025436,Song2Pea30(-5.5)63db.wav
45,NOGO,1.8534660339355469,0,0,0,1,6280.443755149841,Song1Pk43(-9.5)63db.wav
46,GO,NA,0,1,0,0,6478.623236179352,Song2Pea30(-5.5)63db.wav
47,GO,0.24645781517028809,1,0,0,0,6498.363168001175,Song2Pea30(-5.5)63db.wav
48,NOGO,1.299748182296753,0,0,0,1,6515.593187093735,Song1Pk43(-9.5)63db.wav
