Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start,Stimulus
1,GO,0.400343895,1,0,0,0,9.877942085,Song1Pk43(-9.5)63db.wav
2,NOGO,0.775473118,0,0,0,1,28.49788904,Song2Pea30(-5.5)63db.wav
3,GO,1.117507219,1,0,0,0,53.017838,Song1Pk43(-9.5)63db.wav
4,NOGO,1.692527056,0,0,0,1,69.57781506,Song2Pea30(-5.5)63db.wav
5,GO,NA,0,1,0,0,99.49774194,Song1Pk43(-9.5)63db.wav
6,GO,1.305912018,1,0,0,0,117.4477,Song1Pk43(-9.5)63db.wav
7,GO,NA,0,1,0,0,139.827837,Song1Pk43(-9.5)63db.wav
8,GO,1.518301964,1,0,0,0,159.057621,Song1Pk43(-9.5)63db.wav
9,GO,NA,0,1,0,0,177.187572,Song1Pk43(-9.5)63db.wav
10,NOGO,0.884316921,0,0,0,1,709.25647,Song2Pea30(-5.5)63db.wav
11,GO,NA,0,1,0,0,781.7163022,Song1Pk43(-9.5)63db.wav
12,NOGO,1.078310013,0,0,0,1,913.8060191,Song2Pea30(-5.5)63db.wav
13,GO,NA,0,1,0,0,1029.835793,Song1Pk43(-9.5)63db.wav
14,GO,0.977669954,1,0,0,0,1159.455516,Song1Pk43(-9.5)63db.wav
15,GO,0.385404825,1,0,0,0,1244.745323,Song1Pk43(-9.5)63db.wav
16,NOGO,NA,0,0,1,0,1262.405318,Song2Pea30(-5.5)63db.wav
17,GO,0.524117947,1,0,0,0,1339.355128,Song1Pk43(-9.5)63db.wav
18,NOGO,0.378499985,0,0,0,1,1420.314957,Song2Pea30(-5.5)63db.wav
19,NOGO,0.34950304,0,0,0,1,1491.424833,Song2Pea30(-5.5)63db.wav
20,NOGO,NA,0,0,1,0,1556.574686,Song2Pea30(-5.5)63db.wav
21,NOGO,NA,0,0,1,0,1608.284566,Song2Pea30(-5.5)63db.wav
22,NOGO,0.498502016,0,0,0,1,1634.93455,Song2Pea30(-5.5)63db.wav
23,NOGO,0.945717096,0,0,0,1,1668.20446,Song2Pea30(-5.5)63db.wav
24,NOGO,1.565357924,0,0,0,1,1710.604379,Song2Pea30(-5.5)63db.wav
25,GO,NA,0,1,0,0,1782.99424,Song1Pk43(-9.5)63db.wav
26,GO,0.301259041,1,0,0,0,1948.473879,Song1Pk43(-9.5)63db.wav
27,GO,NA,0,1,0,0,1999.923766,Song1Pk43(-9.5)63db.wav
28,NOGO,0.079371929,0,0,0,1,2021.583746,Song2Pea30(-5.5)63db.wav
29,GO,NA,0,1,0,0,2087.023603,Song1Pk43(-9.5)63db.wav
30,GO,NA,0,1,0,0,2163.923424,Song1Pk43(-9.5)63db.wav
31,NOGO,NA,0,0,1,0,2235.183293,Song2Pea30(-5.5)63db.wav
32,NOGO,NA,0,0,1,0,2283.753354,Song2Pea30(-5.5)63db.wav
33,NOGO,NA,0,0,1,0,2367.223,Song2Pea30(-5.5)63db.wav
34,NOGO,NA,0,0,1,0,2385.72299,Song2Pea30(-5.5)63db.wav
35,NOGO,0.556284189,0,0,0,1,2419.092894,Song2Pea30(-5.5)63db.wav
36,GO,NA,0,1,0,0,2473.262771,Song1Pk43(-9.5)63db.wav
37,NOGO,NA,0,0,1,0,2540.722622,Song2Pea30(-5.5)63db.wav
38,NOGO,NA,0,0,1,0,2579.402572,Song2Pea30(-5.5)63db.wav
39,GO,NA,0,1,0,0,2596.922523,Song1Pk43(-9.5)63db.wav
40,GO,NA,0,1,0,0,2632.502437,Song1Pk43(-9.5)63db.wav
41,GO,NA,0,1,0,0,2837.602025,Song1Pk43(-9.5)63db.wav
42,GO,NA,0,1,0,0,2913.711857,Song1Pk43(-9.5)63db.wav
43,NOGO,NA,0,0,1,0,2932.011823,Song2Pea30(-5.5)63db.wav
44,NOGO,NA,0,0,1,0,2957.281773,Song2Pea30(-5.5)63db.wav
45,GO,0.622246981,1,0,0,0,3021.191646,Song1Pk43(-9.5)63db.wav
46,NOGO,1.634473085,0,0,0,1,3046.781593,Song2Pea30(-5.5)63db.wav
47,NOGO,NA,0,0,1,0,3085.791548,Song2Pea30(-5.5)63db.wav
48,NOGO,NA,0,0,1,0,3118.121459,Song2Pea30(-5.5)63db.wav
49,GO,NA,0,1,0,0,3179.141296,Song1Pk43(-9.5)63db.wav
50,GO,0.248633862,1,0,0,0,3229.161212,Song1Pk43(-9.5)63db.wav
51,NOGO,NA,0,0,1,0,3250.081156,Song2Pea30(-5.5)63db.wav
