Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start,Stimulus
1,NOGO,0.378813982,0,0,0,1,7.335993052,Song2Pea30(-5.5)63db.wav
2,GO,0.451550007,1,0,0,0,48.12589502,Song1Pk43(-9.5)63db.wav
3,GO,0.919185162,1,0,0,0,73.7458322,Song1Pk43(-9.5)63db.wav
4,NOGO,0.249842167,0,0,0,1,301.3553741,Song2Pea30(-5.5)63db.wav
5,NOGO,NA,0,0,1,0,556.8548262,Song2Pea30(-5.5)63db.wav
6,NOGO,NA,0,0,1,0,797.1843052,Song2Pea30(-5.5)63db.wav
7,GO,0.789040089,1,0,0,0,872.574167,Song1Pk43(-9.5)63db.wav
8,NOGO,0.217057943,0,0,0,1,986.1339231,Song2Pea30(-5.5)63db.wav
9,GO,NA,0,1,0,0,1020.143852,Song1Pk43(-9.5)63db.wav
10,GO,0.169312954,1,0,0,0,1073.203755,Song1Pk43(-9.5)63db.wav
11,GO,NA,0,1,0,0,1136.543613,Song1Pk43(-9.5)63db.wav
12,NOGO,0.471105099,0,0,0,1,1161.463549,Song2Pea30(-5.5)63db.wav
13,GO,NA,0,1,0,0,1248.083388,Song1Pk43(-9.5)63db.wav
14,GO,0.621155977,1,0,0,0,1261.463392,Song1Pk43(-9.5)63db.wav
15,GO,NA,0,1,0,0,1414.203022,Song1Pk43(-9.5)63db.wav
16,GO,0.510560989,1,0,0,0,1434.512998,Song1Pk43(-9.5)63db.wav
17,NOGO,0.251115799,0,0,0,1,1527.542792,Song2Pea30(-5.5)63db.wav
18,NOGO,NA,0,0,1,0,1554.842738,Song2Pea30(-5.5)63db.wav
19,GO,NA,0,1,0,0,1575.392715,Song1Pk43(-9.5)63db.wav
20,NOGO,1.886506796,0,0,0,1,1643.812556,Song2Pea30(-5.5)63db.wav
21,NOGO,0.45522213,0,0,0,1,1678.46264,Song2Pea30(-5.5)63db.wav
22,NOGO,NA,0,0,1,0,1709.532434,Song2Pea30(-5.5)63db.wav
23,GO,0.708009005,1,0,0,0,1722.712397,Song1Pk43(-9.5)63db.wav
24,NOGO,0,0,0,0,1,1746.272333,Song2Pea30(-5.5)63db.wav
25,GO,NA,0,1,0,0,1783.282276,Song1Pk43(-9.5)63db.wav
26,GO,NA,0,1,0,0,1808.722215,Song1Pk43(-9.5)63db.wav
