Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start,Stimulus
1,NOGO,1.316223145,0,0,0,1,6.779074907,Song2Pea30(-5.5)63db.wav
2,GO,NA,0,1,0,0,31.3890419,Song1Pk43(-9.5)63db.wav
3,GO,0.424415112,1,0,0,0,47.44900489,Song1Pk43(-9.5)63db.wav
4,GO,0.428565979,1,0,0,0,85.16890502,Song1Pk43(-9.5)63db.wav
5,GO,0.097244978,1,0,0,0,115.418875,Song1Pk43(-9.5)63db.wav
6,NOGO,NA,0,0,1,0,158.888762,Song2Pea30(-5.5)63db.wav
7,NOGO,0.174031019,0,0,0,1,177.3287189,Song2Pea30(-5.5)63db.wav
8,NOGO,0.409940004,0,0,0,1,211.0686669,Song2Pea30(-5.5)63db.wav
9,GO,0.282833099,1,0,0,0,276.0485239,Song1Pk43(-9.5)63db.wav
10,NOGO,NA,0,0,1,0,306.588459,Song2Pea30(-5.5)63db.wav
11,GO,NA,0,1,0,0,334.638411,Song1Pk43(-9.5)63db.wav
12,GO,0.983367205,1,0,0,0,349.6883759,Song1Pk43(-9.5)63db.wav
13,NOGO,NA,0,0,1,0,364.5483348,Song2Pea30(-5.5)63db.wav
14,NOGO,NA,0,0,1,0,380.0583189,Song2Pea30(-5.5)63db.wav
15,GO,0.249197006,1,0,0,0,404.9482589,Song1Pk43(-9.5)63db.wav
16,GO,0.194195986,1,0,0,0,493.7080579,Song1Pk43(-9.5)63db.wav
17,GO,0.97362113,1,0,0,0,514.2281699,Song1Pk43(-9.5)63db.wav
18,NOGO,NA,0,0,1,0,550.127949,Song2Pea30(-5.5)63db.wav
19,GO,0.704368114,1,0,0,0,562.937917,Song1Pk43(-9.5)63db.wav
20,GO,1.095567942,1,0,0,0,605.36782,Song1Pk43(-9.5)63db.wav
21,NOGO,NA,0,0,1,0,646.7577429,Song2Pea30(-5.5)63db.wav
22,GO,0.396553993,1,0,0,0,666.357703,Song1Pk43(-9.5)63db.wav
23,GO,0.296500921,1,0,0,0,735.8775399,Song1Pk43(-9.5)63db.wav
24,NOGO,NA,0,0,1,0,782.887465,Song2Pea30(-5.5)63db.wav
25,NOGO,1.246603012,0,0,0,1,812.987431,Song2Pea30(-5.5)63db.wav
26,GO,1.172619104,1,0,0,0,856.6572878,Song1Pk43(-9.5)63db.wav
27,GO,NA,0,1,0,0,872.057277,Song1Pk43(-9.5)63db.wav
28,NOGO,1.515770912,0,0,0,1,896.2672338,Song2Pea30(-5.5)63db.wav
29,GO,1.716149092,1,0,0,0,928.787153,Song1Pk43(-9.5)63db.wav
30,GO,0.607833862,1,0,0,0,956.6771159,Song1Pk43(-9.5)63db.wav
31,NOGO,0.967214108,0,0,0,1,974.607064,Song2Pea30(-5.5)63db.wav
32,NOGO,1.874175072,0,0,0,1,1000.747004,Song2Pea30(-5.5)63db.wav
33,NOGO,NA,0,0,1,0,1058.786892,Song2Pea30(-5.5)63db.wav
34,NOGO,NA,0,0,1,0,1085.356823,Song2Pea30(-5.5)63db.wav
35,GO,0.614800215,1,0,0,0,1100.596954,Song1Pk43(-9.5)63db.wav
36,GO,0.542169094,1,0,0,0,1131.58675,Song1Pk43(-9.5)63db.wav
37,GO,NA,0,1,0,0,1143.376713,Song1Pk43(-9.5)63db.wav
38,NOGO,1.940743923,0,0,0,1,1176.716645,Song2Pea30(-5.5)63db.wav
39,NOGO,1.112071991,0,0,0,1,1298.786404,Song2Pea30(-5.5)63db.wav
40,GO,0.835318089,1,0,0,0,1346.676291,Song1Pk43(-9.5)63db.wav
41,GO,0.399496794,1,0,0,0,1474.466015,Song1Pk43(-9.5)63db.wav
42,NOGO,NA,0,0,1,0,1504.875978,Song2Pea30(-5.5)63db.wav
43,NOGO,NA,0,0,1,0,1522.665944,Song2Pea30(-5.5)63db.wav
44,NOGO,NA,0,0,1,0,1558.155863,Song2Pea30(-5.5)63db.wav
45,NOGO,1.457504988,0,0,0,1,1650.76582,Song2Pea30(-5.5)63db.wav
46,GO,0.576442957,1,0,0,0,1683.995611,Song1Pk43(-9.5)63db.wav
47,NOGO,NA,0,0,1,0,1711.275536,Song2Pea30(-5.5)63db.wav
48,NOGO,NA,0,0,1,0,1737.265481,Song2Pea30(-5.5)63db.wav
49,NOGO,NA,0,0,1,0,1753.625467,Song2Pea30(-5.5)63db.wav
50,GO,NA,0,1,0,0,1787.395376,Song1Pk43(-9.5)63db.wav
51,NOGO,NA,0,0,1,0,1834.62527,Song2Pea30(-5.5)63db.wav
52,GO,NA,0,1,0,0,1848.425442,Song1Pk43(-9.5)63db.wav
53,GO,NA,0,1,0,0,1866.225214,Song1Pk43(-9.5)63db.wav
54,NOGO,NA,0,0,1,0,2064.204803,Song2Pea30(-5.5)63db.wav
55,NOGO,NA,0,0,1,0,2082.874804,Song2Pea30(-5.5)63db.wav
56,NOGO,0.338016987,0,0,0,1,2106.424709,Song2Pea30(-5.5)63db.wav
57,GO,1.190009117,1,0,0,0,2130.934652,Song1Pk43(-9.5)63db.wav
58,NOGO,NA,0,0,1,0,2161.574605,Song2Pea30(-5.5)63db.wav
59,NOGO,0.556422949,0,0,0,1,2181.124561,Song2Pea30(-5.5)63db.wav
60,NOGO,1.041260004,0,0,0,1,2225.804645,Song2Pea30(-5.5)63db.wav
61,GO,0.248675823,1,0,0,0,2271.364375,Song1Pk43(-9.5)63db.wav
62,GO,0.391628027,1,0,0,0,2328.884256,Song1Pk43(-9.5)63db.wav
63,NOGO,NA,0,0,1,0,2402.664087,Song2Pea30(-5.5)63db.wav
64,GO,0.608437061,1,0,0,0,2421.494066,Song1Pk43(-9.5)63db.wav
65,GO,0.384856939,1,0,0,0,2438.764022,Song1Pk43(-9.5)63db.wav
66,GO,NA,0,1,0,0,2512.14387,Song1Pk43(-9.5)63db.wav
67,NOGO,NA,0,0,1,0,2604.653656,Song2Pea30(-5.5)63db.wav
68,NOGO,NA,0,0,1,0,2693.513483,Song2Pea30(-5.5)63db.wav
69,NOGO,NA,0,0,1,0,2728.453402,Song2Pea30(-5.5)63db.wav
70,NOGO,NA,0,0,1,0,2746.773354,Song2Pea30(-5.5)63db.wav
71,GO,0.108628035,1,0,0,0,2772.873331,Song1Pk43(-9.5)63db.wav
72,GO,0.380623817,1,0,0,0,2821.793218,Song1Pk43(-9.5)63db.wav
73,NOGO,0.695589066,0,0,0,1,2900.613045,Song2Pea30(-5.5)63db.wav
74,NOGO,1.542258978,0,0,0,1,2945.152981,Song2Pea30(-5.5)63db.wav
75,GO,0.264564037,1,0,0,0,2985.42289,Song1Pk43(-9.5)63db.wav
76,NOGO,NA,0,0,1,0,3016.48282,Song2Pea30(-5.5)63db.wav
77,GO,1.446383953,1,0,0,0,3119.872614,Song1Pk43(-9.5)63db.wav
78,NOGO,NA,0,0,1,0,3146.152549,Song2Pea30(-5.5)63db.wav
79,GO,0.794454098,1,0,0,0,3165.622665,Song1Pk43(-9.5)63db.wav
80,GO,0.493078947,1,0,0,0,3182.442484,Song1Pk43(-9.5)63db.wav
81,GO,NA,0,1,0,0,3220.922389,Song1Pk43(-9.5)63db.wav
82,GO,0.644340038,1,0,0,0,3241.88234,Song1Pk43(-9.5)63db.wav
83,GO,NA,0,1,0,0,3312.132213,Song1Pk43(-9.5)63db.wav
84,GO,0.409677982,1,0,0,0,3514.711771,Song1Pk43(-9.5)63db.wav
85,NOGO,NA,0,0,1,0,3566.441658,Song2Pea30(-5.5)63db.wav
86,NOGO,NA,0,0,1,0,3607.621589,Song2Pea30(-5.5)63db.wav
87,GO,NA,0,1,0,0,3669.92145,Song1Pk43(-9.5)63db.wav
88,NOGO,NA,0,0,1,0,3689.401399,Song2Pea30(-5.5)63db.wav
89,NOGO,NA,0,0,1,0,3702.701378,Song2Pea30(-5.5)63db.wav
90,GO,1.215788126,1,0,0,0,3794.081188,Song1Pk43(-9.5)63db.wav
91,GO,0.227232933,1,0,0,0,3858.791042,Song1Pk43(-9.5)63db.wav
92,GO,NA,0,1,0,0,3942.160858,Song1Pk43(-9.5)63db.wav
93,NOGO,NA,0,0,1,0,4005.680744,Song2Pea30(-5.5)63db.wav
94,NOGO,NA,0,0,1,0,4029.380695,Song2Pea30(-5.5)63db.wav
95,GO,1.570938826,1,0,0,0,4114.730507,Song1Pk43(-9.5)63db.wav
96,GO,NA,0,1,0,0,4140.430469,Song1Pk43(-9.5)63db.wav
97,NOGO,1.833866119,0,0,0,1,4320.41009,Song2Pea30(-5.5)63db.wav
98,GO,0.36561203,1,0,0,0,4381.38995,Song1Pk43(-9.5)63db.wav
99,NOGO,NA,0,0,1,0,4393.589939,Song2Pea30(-5.5)63db.wav
100,NOGO,NA,0,0,1,0,4412.939899,Song2Pea30(-5.5)63db.wav
101,GO,0.528727055,1,0,0,0,4471.149763,Song1Pk43(-9.5)63db.wav
102,NOGO,NA,0,0,1,0,4571.479576,Song2Pea30(-5.5)63db.wav
103,GO,0.193352938,1,0,0,0,4607.049487,Song1Pk43(-9.5)63db.wav
104,NOGO,NA,0,0,1,0,4626.959432,Song2Pea30(-5.5)63db.wav
105,GO,0.243954897,1,0,0,0,4670.409332,Song1Pk43(-9.5)63db.wav
106,NOGO,NA,0,0,1,0,4721.179249,Song2Pea30(-5.5)63db.wav
107,NOGO,NA,0,0,1,0,4742.019205,Song2Pea30(-5.5)63db.wav
108,GO,1.706206083,1,0,0,0,5038.858558,Song1Pk43(-9.5)63db.wav
109,GO,0.444424868,1,0,0,0,5061.508546,Song1Pk43(-9.5)63db.wav
110,NOGO,NA,0,0,1,0,5075.7485,Song2Pea30(-5.5)63db.wav
111,GO,1.367022991,1,0,0,0,5142.498345,Song1Pk43(-9.5)63db.wav
112,NOGO,0.480200052,0,0,0,1,5170.6883,Song2Pea30(-5.5)63db.wav
113,NOGO,NA,0,0,1,0,5227.808181,Song2Pea30(-5.5)63db.wav
114,GO,0.799917936,1,0,0,0,5248.668291,Song1Pk43(-9.5)63db.wav
115,GO,0.322213888,1,0,0,0,5275.448265,Song1Pk43(-9.5)63db.wav
116,GO,NA,0,1,0,0,5292.24804,Song1Pk43(-9.5)63db.wav
117,NOGO,0.710212946,0,0,0,1,5329.077959,Song2Pea30(-5.5)63db.wav
118,NOGO,1.150175095,0,0,0,1,5362.367904,Song2Pea30(-5.5)63db.wav
119,GO,1.665736914,1,0,0,0,5478.98765,Song1Pk43(-9.5)63db.wav
120,GO,0.762545824,1,0,0,0,5504.337581,Song1Pk43(-9.5)63db.wav
121,NOGO,NA,0,0,1,0,5623.117347,Song2Pea30(-5.5)63db.wav
122,GO,0.915838957,1,0,0,0,5738.337096,Song1Pk43(-9.5)63db.wav
123,GO,NA,0,1,0,0,5804.796948,Song1Pk43(-9.5)63db.wav
124,GO,NA,0,1,0,0,5843.427059,Song1Pk43(-9.5)63db.wav
125,GO,0.620980978,1,0,0,0,5862.356852,Song1Pk43(-9.5)63db.wav
126,GO,1.787783146,1,0,0,0,5993.956586,Song1Pk43(-9.5)63db.wav
127,GO,NA,0,1,0,0,6067.18641,Song1Pk43(-9.5)63db.wav
128,GO,NA,0,1,0,0,6094.496387,Song1Pk43(-9.5)63db.wav
129,GO,0.813184023,1,0,0,0,6143.766263,Song1Pk43(-9.5)63db.wav
130,NOGO,0.853392839,0,0,0,1,6200.636134,Song2Pea30(-5.5)63db.wav
131,GO,0.754313946,1,0,0,0,6259.676035,Song1Pk43(-9.5)63db.wav
132,NOGO,NA,0,0,1,0,6275.465985,Song2Pea30(-5.5)63db.wav
133,NOGO,NA,0,0,1,0,6312.355897,Song2Pea30(-5.5)63db.wav
134,NOGO,NA,0,0,1,0,6355.825825,Song2Pea30(-5.5)63db.wav
135,NOGO,NA,0,0,1,0,6368.255793,Song2Pea30(-5.5)63db.wav
136,NOGO,NA,0,0,1,0,6383.745751,Song2Pea30(-5.5)63db.wav
137,GO,0.603257895,1,0,0,0,6422.2057,Song1Pk43(-9.5)63db.wav
138,NOGO,0.735718966,0,0,0,1,6503.695515,Song2Pea30(-5.5)63db.wav
139,GO,0.428237915,1,0,0,0,6565.895373,Song1Pk43(-9.5)63db.wav
140,NOGO,NA,0,0,1,0,6640.105241,Song2Pea30(-5.5)63db.wav
141,NOGO,NA,0,0,1,0,6654.945203,Song2Pea30(-5.5)63db.wav
142,NOGO,0.86499095,0,0,0,1,6672.665159,Song2Pea30(-5.5)63db.wav
143,NOGO,NA,0,0,1,0,6762.214985,Song2Pea30(-5.5)63db.wav
144,NOGO,NA,0,0,1,0,6808.9449,Song2Pea30(-5.5)63db.wav
