Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start
1,GO,NA,0,1,0,0,119.3209228515625
2,NOGO,0.2713320255279541,0,0,0,1,184.6688859462738
3,NOGO,1.0718350410461426,0,0,0,1,210.43812084197998
4,NOGO,NA,0,0,1,0,234.62748885154724
5,NOGO,NA,0,0,1,0,278.4360167980194
6,GO,0.06681299209594727,1,0,0,0,291.63555097579956
7,NOGO,NA,0,0,1,0,329.80440378189087
8,NOGO,0.2839620113372803,0,0,0,1,376.59303188323975
9,GO,1.0609710216522217,1,0,0,0,426.101459980011
10,NOGO,NA,0,0,1,0,444.7309010028839
11,NOGO,NA,0,0,1,0,482.89971899986267
12,NOGO,NA,0,0,1,0,496.64930987358093
13,NOGO,NA,0,0,1,0,533.5882008075714
14,GO,1.0583250522613525,1,0,0,0,554.357433795929
15,NOGO,NA,0,0,1,0,619.5855009555817
16,GO,NA,0,1,0,0,632.1050817966461
17,NOGO,NA,0,0,1,0,653.9444479942322
18,NOGO,NA,0,0,1,0,733.5419719219208
19,NOGO,NA,0,0,1,0,769.0708558559418
20,GO,NA,0,1,0,0,919.7962357997894
21,NOGO,NA,0,0,1,0,938.0556819438934
22,GO,0,1,0,0,0,991.1741299629211
23,NOGO,NA,0,0,1,0,1087.1410479545593
24,GO,0.8150179386138916,1,0,0,0,1113.150230884552
25,NOGO,NA,0,0,1,0,1153.4790577888489
26,GO,0.7509369850158691,1,0,0,0,1206.6673409938812
27,NOGO,NA,0,0,1,0,1267.3554859161377
28,NOGO,NA,0,0,1,0,1295.62464594841
29,GO,NA,0,1,0,0,1321.6138799190521
30,NOGO,NA,0,0,1,0,1538.6470429897308
31,NOGO,NA,0,0,1,0,1617.4446268081665
32,GO,0.7700071334838867,1,0,0,0,1644.5039479732513
33,GO,NA,0,1,0,0,1669.4429869651794
34,NOGO,NA,0,0,1,0,1739.490875005722
35,NOGO,NA,0,0,1,0,1902.4757878780365
36,GO,NA,0,1,0,0,1970.264272928238
37,GO,0.5824799537658691,1,0,0,0,1994.1929550170898
38,NOGO,NA,0,0,1,0,2081.1302828788757
39,GO,0,1,0,0,0,2094.269838809967
40,GO,0,1,0,0,0,2138.178467988968
41,NOGO,0,0,0,0,1,2281.9341049194336
