Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start
1,NOGO,NA,0,0,1,0,172.7014570236206
2,GO,0.8257839679718018,1,0,0,0,189.04096698760986
3,NOGO,0.8123180866241455,0,0,0,1,201.340558052063
4,GO,0,1,0,0,0,1143.7214751243591
5,GO,0.1477339267730713,1,0,0,0,1223.0390181541443
6,NOGO,NA,0,0,1,0,1498.490475177765
7,GO,0.8563261032104492,1,0,0,0,1789.951532125473
8,GO,0.25311279296875,1,0,0,0,1917.4677469730377
9,NOGO,NA,0,0,1,0,2316.17529797554
10,GO,NA,0,1,0,0,2400.162687063217
11,GO,0.22012090682983398,1,0,0,0,2619.0759341716766
12,NOGO,0.8849911689758301,0,0,0,1,2721.2928099632263
13,GO,NA,0,1,0,0,3171.8188240528107
14,GO,1.89382004737854,1,0,0,0,3364.442855119705
15,NOGO,NA,0,0,1,0,3763.560536146164
16,GO,0,1,0,0,0,3838.608416080475
17,GO,0.3266410827636719,1,0,0,0,3861.8675379753113
18,NOGO,0,0,0,0,1,3879.257016181946
19,NOGO,0.16432905197143555,0,0,0,1,3931.0754261016846
20,NOGO,NA,0,0,1,0,4005.863111972809
21,GO,0.2690091133117676,1,0,0,0,4018.98268198967
22,GO,0.2897789478302002,1,0,0,0,4344.322741031647
23,GO,0.023647069931030273,1,0,0,0,4658.863030195236
24,NOGO,NA,0,0,1,0,4807.218410015106
25,NOGO,NA,0,0,1,0,4879.406254053116
26,NOGO,1.378105878829956,0,0,0,1,5194.6363780498505
27,NOGO,0.009433984756469727,0,0,0,1,5217.195703029633
28,GO,0,1,0,0,0,5255.5245480537415
29,NOGO,NA,0,0,1,0,5279.273815155029
30,NOGO,NA,0,0,1,0,6372.4400379657745
31,NOGO,0.08594298362731934,0,0,0,1,9449.145191192627
32,GO,0.3467979431152344,1,0,0,0,9959.539321184158
33,NOGO,NA,0,0,1,0,9971.508960962296
34,NOGO,NA,0,0,1,0,10000.728130102158
35,NOGO,NA,0,0,1,0,10069.866024971008
36,GO,NA,0,1,0,0,10226.911103963852
37,NOGO,NA,0,0,1,0,10256.030193090439
38,GO,NA,0,1,0,0,11260.919247150421
39,NOGO,0.3894319534301758,0,0,0,1,11302.308051109314
40,NOGO,NA,0,0,1,0,11371.63572716713
