Subject,Treatment,Logit_Coeff,Logit_Intercept,Area_under_curve,%Correct,Hit_rate,Rejection_rate
SROF018,TRAINING1,-0.009469487505941149,0.7870920187706042,57.41078873936545,60.148148148148145,32.608695652173914,47.42424242424242
SROF020,TRAINING1,-0.00829793019868053,1.1939368759428208,68.14330300570714,63.61728913134704,17.39502999143102,54.60526315789473
SROF012,TRAINING1,-0.00017687483661281704,0.29141174992533325,57.013189625464946,69.46766388033436,23.36283185840708,37.62029746281715
SROF017,TRAINING1,-0.0006638242418826488,0.8934808826618148,70.25669329358116,66.30067567567568,13.180272108843539,53.94295302013423
SRCF006,TRAINING1,-0.014245194072948691,1.2999728286159722,63.435605353630365,66.07476635514018,20.9471766848816,47.60076775431862
SRCF009,TRAINING1,-0.0008101707425928243,0.17077587720467896,53.23147676921326,62.43550051599587,34.011220196353435,40.98582039162728
SRCF012,TRAINING1,-0.00031189528995816693,0.3346362850019966,57.90130595693316,63.51183063511831,27.72020725388601,44.60431654676259
SRCF014,TRAINING1,-0.019702876059656895,1.7987393346552998,67.65141383077223,63.2,16.57142857142857,54.50000000000001
