Subject,Treatment,Logit_Coeff,Logit_Intercept,Area_under_curve,%Correct,Hit_rate,Rejection_rate
SROF012,TRAINING1,0.010105166574441472,0.1910424296513087,66.64795871855802,66.4320281566212,33.69663941871026,33.44709897610921
SROF012,TRAINING2,0.010057025717017968,0.2624294503234401,68.13801951334156,67.92784865816103,23.613595706618963,40.25974025974026
SROF012,TRAINING3,0.015398129662063114,0.08986540371803685,69.77355104133352,69.46766388033436,23.36283185840708,37.62029746281715
SROF017,TRAINING1,0.0013543378916514403,-0.018731034406036545,51.25775895147278,51.22466216216216,33.777038269550744,64.23670668953689
SROF017,TRAINING2,0.011195161515739384,0.012087023165372421,63.84539211002212,63.597972972972975,13.939393939393941,57.790601813685086
SROF017,TRAINING3,0.011185713935573532,0.13410063846343617,66.53939513075714,66.30067567567568,13.180272108843539,53.94295302013423
SROF020,TRAINING1,0.005930870000922292,0.4639331952998342,68.15910612225329,68.03584764749813,38.291139240506325,26.308345120226306
SROF020,TRAINING2,0.009282816397113987,0.05568315139185769,62.715028397350196,62.509335324869305,32.035928143712574,42.92101341281669
SROF020,TRAINING3,0.005181369113359706,-0.28479666381372876,49.48920058849063,49.36519790888723,18.305597579425115,82.15339233038348
SROF018,TRAINING1,-0.006993799192564029,0.6903395784946427,58.18389067881111,58.333333333333336,42.926829268292686,40.58577405857741
SROF018,TRAINING2,0.013870031704622336,-0.18920069997148214,62.216548493110544,61.93693693693694,31.330472103004293,45.497630331753555
SROF018,TRAINING3,0.004552015308172684,-0.08309636990993216,53.70363967784746,53.6036036036036,42.72727272727273,50.0
