Subject,Treatment,Logit_Coeff,Logit_Intercept,Area_under_curve,%Correct,Hit_rate,Rejection_rate
SROF012,TRAINING1,-0.00710775030873655,0.3297466628486454,49.18986481240465,66.4320281566212,33.69663941871026,33.44709897610921
SROF012,TRAINING2,-0.00656155553338543,0.6550674366917514,57.874122171704016,67.92784865816103,23.613595706618963,40.25974025974026
SROF012,TRAINING3,-0.00017687483661281704,0.29141174992533325,57.013189625464946,69.46766388033436,23.36283185840708,37.62029746281715
SROF017,TRAINING1,0.0016637878611424446,0.5469496322062448,65.28182461529526,51.22466216216216,33.777038269550744,64.23670668953689
SROF017,TRAINING2,0.001228967757963283,0.8624895559737584,71.60384474346665,63.597972972972975,13.939393939393941,57.790601813685086
SROF017,TRAINING3,-0.0006638242418826488,0.8934808826618148,70.25669329358116,66.30067567567568,13.180272108843539,53.94295302013423
SROF020,TRAINING1,-0.004957229008023094,-0.03453335597932103,42.90079799459977,68.03584764749813,38.291139240506325,26.308345120226306
SROF020,TRAINING2,-0.002042883589381743,0.31986665283209365,55.36657313734528,62.509335324869305,32.035928143712574,42.92101341281669
SROF020,TRAINING3,-0.007032109721284387,1.8763838017633447,81.82696863018222,49.36519790888723,18.305597579425115,82.15339233038348
SROF018,TRAINING1,-0.003937699021132883,0.12499259763526917,48.11124529931928,58.333333333333336,42.926829268292686,40.58577405857741
SROF018,TRAINING2,-0.002467801294418206,0.4327920573647764,57.60425332036134,61.93693693693694,31.330472103004293,45.497630331753555
SROF018,TRAINING3,0.01500688904708861,-0.6010449110834876,53.917520640401314,53.6036036036036,42.72727272727273,50.0
