Subject,Trial_type,Logit_Coeff,Logit_Intercept,Area_under_curve,%Correct,Hit_rate,Rejection_rate
SRCF014,GO,0.002642074955940113,0.5280420223893513,65.96779203685826,65.91375770020534,34.08624229979466,nan
SRCF014,NOGO,0.032895767266293174,-1.3017491164320827,57.68042228451854,57.08418891170431,nan,42.91581108829568
SRCF006,GO,0.01220895792082339,-0.8267798629216014,45.06533236566941,44.78584729981378,55.21415270018621,nan
SRCF006,NOGO,0.008192749839262256,0.27550118524633727,66.46641405060885,66.29422718808193,nan,33.70577281191806
SRCF009,GO,0.0038320514263943963,0.24533974698471936,60.812844545504475,60.72727272727273,39.27272727272727,nan
SRCF009,NOGO,0.004126027281846022,0.5164831859245302,67.35861515733211,67.27272727272727,nan,32.72727272727273
SRCF012,GO,0.007785776934455756,0.00012158955129649139,59.6840335627201,59.59731543624161,40.40268456375839,nan
SRCF012,NOGO,0.009805162775852227,0.193078649161898,66.37564772580376,66.1744966442953,nan,33.8255033557047
SROF017,GO,0.015612157461355828,0.5495161653730676,78.39469503359972,78.13996601266801,21.860033987331995,nan
SROF017,NOGO,0.006779811830727302,-0.4812022549071813,46.65123213093217,46.48540089602966,nan,53.51459910397034
SROF018,GO,0.007249795723279432,0.3340068996490128,66.73962742875905,66.5893271461717,33.4106728538283,nan
SROF018,NOGO,0.01079143139742081,0.12841657709047438,66.00087978986659,65.77726218097447,nan,34.222737819025525
SROF012,GO,0.001604038706785958,0.5944877676042166,66.283298341363,66.24895572263993,33.751044277360066,nan
SROF012,NOGO,0.01912744403462771,-0.19395186511687848,67.4627931454323,67.0843776106934,nan,32.9156223893066
SROF020,GO,0.0007031574144348837,0.4420437816759597,61.724159164453106,61.70886075949367,38.291139240506325,nan
SROF020,NOGO,0.009515520991509556,0.5001268717871183,72.48264603544382,72.31012658227849,nan,27.689873417721518
