Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start,Stimulus
114,NOGO,0.365266085,0,0,0,1,16361.98564,Song1Pk43(-9.5)63db.wav
115,NOGO,1.46612215,0,0,0,1,16388.6156,Song1Pk43(-9.5)63db.wav
116,GO,1.581094027,1,0,0,0,16427.77549,Song2Pea30(-5.5)63db.wav
117,NOGO,0.353648901,0,0,0,1,16483.50534,Song1Pk43(-9.5)63db.wav
118,NOGO,1.322945833,0,0,0,1,16540.61522,Song1Pk43(-9.5)63db.wav
119,NOGO,NA,0,0,1,0,16571.85531,Song1Pk43(-9.5)63db.wav
120,NOGO,NA,0,0,1,0,16926.74425,Song1Pk43(-9.5)63db.wav
121,NOGO,NA,0,0,1,0,17017.73402,Song1Pk43(-9.5)63db.wav
122,GO,0,1,0,0,0,17257.29348,Song2Pea30(-5.5)63db.wav
123,GO,NA,0,1,0,0,17330.62325,Song2Pea30(-5.5)63db.wav
124,NOGO,0.77779603,0,0,0,1,17468.70289,Song1Pk43(-9.5)63db.wav
125,GO,0,1,0,0,0,17523.49276,Song2Pea30(-5.5)63db.wav
126,NOGO,0.07715416,0,0,0,1,17546.97274,Song1Pk43(-9.5)63db.wav
127,GO,0,1,0,0,0,17571.05266,Song2Pea30(-5.5)63db.wav
128,GO,0,1,0,0,0,17589.40259,Song2Pea30(-5.5)63db.wav
129,NOGO,0.549335003,0,0,0,1,17620.04253,Song1Pk43(-9.5)63db.wav
130,NOGO,0.367650032,0,0,0,1,17643.88245,Song1Pk43(-9.5)63db.wav
131,NOGO,1.414592981,0,0,0,1,17669.04238,Song1Pk43(-9.5)63db.wav
132,NOGO,0.055442095,0,0,0,1,17697.95233,Song1Pk43(-9.5)63db.wav
133,GO,0.058490992,1,0,0,0,17920.91177,Song2Pea30(-5.5)63db.wav
,,,57,12,17,47,,
