Trial_number,Time_s
1,2491.9778940677643
2,2506.0417358875275
3,2527.9675199985504
4,2541.156121969223
5,2554.9537370204926
6,2568.4304280281067
7,2584.9233179092407
8,2599.7717158794403
9,2617.502958059311
10,2637.1939148902893
11,2711.7958130836487
12,2725.0815649032593
13,2740.462080001831
14,2757.89097905159
15,2928.0305910110474
16,3013.0112788677216
17,3151.6241130828857
18,3167.6642410755157
19,3185.164258003235
20,3199.5981109142303
21,3212.8987350463867
22,3536.424227952957
23,3551.203463077545
24,3755.5975019931793
25,3772.6213829517365
26,3787.18034696579
27,3802.323119878769
28,3816.807487010956
29,4050.793979883194
30,4067.414864063263
31,4090.489916086197
32,4107.081007003784
33,4121.851600885391
34,4146.3340809345245
35,4161.550632953644
36,4298.263151884079
37,4315.841944932938
38,4333.327297925949
39,4354.964062929153
40,4372.523478984833
41,4387.955910921097
42,4417.346436023712
43,4431.188042879105
44,4446.005719900131
45,4459.642062902451
46,4585.520384073257
47,4602.821421861649
48,4622.749934911728
49,4664.9748249053955
50,4683.304352045059
51,4697.564663887024
52,4715.5006358623505
53,5197.335800886154
54,5217.635674953461
55,5231.836258888245
56,5245.758337020874
57,5267.185786008835
58,5286.434970855713
59,5302.489963054657
60,5316.027752876282
61,5329.975761890411
62,5343.204437971115
63,5356.490004062653
64,5369.732423067093
65,5395.9993019104
66,5412.735678911209
67,5434.437536001205
68,5448.695100069046
69,5462.823613882065
70,5480.135729074478
71,5495.376384973526
72,5509.465297937393
73,5523.258183002472
74,5539.739903926849
75,5563.598154067993
76,5603.457615852356
77,5652.320208072662
78,5667.917759895325
79,5687.944156885147
80,5703.219841003418
81,5716.918783903122
82,5730.654541969299
83,5744.505190849304
84,5783.837167978287
85,5802.660659074783
86,5909.812196016312
87,5940.471884012222
88,5955.922996044159
89,5972.663372993469
90,6000.680778026581
91,6024.785362958908
92,6038.858728885651
93,6055.686132907867
94,6070.045079946518
95,6083.735346078873
96,6097.959291934967
97,6119.872545957565
98,6133.117501974106
99,6146.307934045792
100,6163.605717897415
101,6189.15750002861
102,6203.58373093605
103,6218.219434022903
104,6232.892981052399
105,6273.993963003159
106,6306.515732049942
107,6320.080476999283
108,6333.886173963547
109,6347.397485971451
110,6363.257866859436
111,6379.512901067734
112,6394.070152997971
113,6416.5433938503265
114,6434.072844028473
115,6451.801883935928
116,6472.812862873077
117,6493.949403047562
118,6511.544491052628
119,6526.822155952454
