Trial_number,Time_s
1,1293.4795389175415
2,3503.4745478630066
3,3527.1209619045258
4,3576.667802810669
5,3603.040752887726
6,3624.287927865982
7,3641.0241849422455
8,3655.603171825409
9,3682.471552848816
10,3697.8131279945374
11,3711.3194239139557
12,3728.0748188495636
13,3807.994959831238
14,3839.742454767227
15,3853.008432865143
16,3867.227230787277
17,4197.054491996765
18,4210.364591836929
19,4279.5687029361725
20,4293.004000902176
21,4307.095396995544
22,4329.60497879982
23,4370.510734796524
24,4409.91316986084
25,4423.893752813339
26,4546.92297077179
27,4563.40424489975
28,4576.605985879898
29,4599.5934009552
30,4651.386817932129
31,4676.1924929618835
32,4689.556923866272
33,4704.3817229270935
34,4720.311959981918
35,4733.9340279102325
36,4752.590309858322
37,4799.33838891983
38,4814.13431096077
39,4850.451332807541
40,4951.079157829285
41,4964.0918707847595
42,4985.51335978508
43,5071.0678288936615
44,5104.817130804062
45,5120.48406291008
46,5153.214393854141
47,5166.227035999298
48,5228.794255971909
49,5248.57266998291
50,5262.941893815994
51,5277.94317483902
52,5301.704961776733
53,5369.994351863861
54,5798.1041848659515
55,5818.422568798065
56,5834.519211769104
57,5878.652460813522
58,5894.1664299964905
59,5908.248775959015
60,5922.041247844696
61,5958.288635969162
62,5973.598259925842
63,6030.805264949799
64,6046.448180913925
65,6061.639877796173
66,6079.1081438064575
67,6092.5892679691315
68,6162.747569799423
69,6175.763893842697
70,6188.776611804962
71,6209.622539997101
72,6222.635301828384
73,6238.6323409080505
74,6254.678559780121
75,6279.458576917648
76,6294.032339811325
77,6309.618174791336
78,6328.344695806503
79,6341.844669818878
80,6365.799829959869
81,6379.56679391861
82,6393.05583190918
83,6437.2972548007965
84,6450.569263935089
85,6465.187961816788
86,6491.153949975967
87,6534.948709964752
88,6629.925318956375
89,6695.429428815842
90,6719.299288988113
91,7023.987748861313
92,7244.993683815002
93,7290.9109489917755
94,7347.407881975174
95,7360.420526981354
96,7619.481415987015
97,7632.494047880173
98,7724.445657968521
99,7752.729699850082
100,7806.77041387558
101,7945.302107810974
102,8051.1949717998505
103,8140.34188580513
104,8153.354555845261
105,8166.3701639175415
106,8552.80155992508
107,8690.844664812088
108,8837.053401947021
109,8950.656941890717
110,9789.214775800705
111,9802.346389770508
112,9815.834047794342
113,9829.360143899918
114,9864.254411935806
115,9891.944784879684
116,9922.255519866943
117,9957.30599284172
118,9987.736860990524
119,10002.704961776733
120,10056.578824996948
121,10125.088092803955
122,10139.46923494339
123,10163.815606832504
124,10215.999579906464
125,10231.393378973007
126,10252.01419878006
127,10268.275187969208
128,10288.491404771805
129,10302.145265817642
130,10315.658343791962
131,10335.050097942352
132,10356.889079809189
133,10369.901785850525
134,10392.662508964539
135,10410.286545991898
136,10423.299194812775
137,10437.686644792557
138,10450.699289798737
139,10489.313603878021
140,10571.407753944397
141,10601.362775802612
142,10636.206404924393
143,10720.579871892929
144,10754.51271390915
145,10807.262689828873
146,13095.674400806427
147,13159.657146930695
148,13198.282198905945
149,13219.22538781166
150,13248.261137962341
151,13262.995585918427
152,13284.271528959274
153,13297.581857919693
154,13311.19657588005
155,13327.45375585556
156,13341.128353834152
157,13357.437346935272
158,13393.212748765945
159,13551.286041975021
160,13578.132501840591
161,13591.145124912262
162,13610.144436836243
163,13641.502972841263
164,13656.01742887497
165,13671.541997909546
166,13718.903680801392
167,13736.678447961807
168,13801.510135889053
169,13840.062888860703
170,13905.459947824478
171,13928.363528966904
172,13948.824907779694
173,13999.268296957016
174,14020.50345492363
175,14033.519767999649
176,14046.532438993454
177,14059.545070886612
178,14074.82980799675
179,14247.211452960968
180,14260.22413277626
181,14280.780851840973
182,14301.903560876846
183,14314.919949769974
184,14327.932612895966
185,14449.3127617836
