Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start
1,GO,0.13612604141235352,1,0,0,0,122.2637071609497
2,NOGO,1.1633880138397217,0,0,0,1,180.90384602546692
3,GO,0.14088106155395508,1,0,0,0,210.66389918327332
4,GO,1.902764081954956,1,0,0,0,231.5539891719818
5,NOGO,NA,0,0,1,0,247.18402314186096
6,NOGO,NA,0,0,1,0,259.6040451526642
7,NOGO,1.0687189102172852,0,0,0,1,271.4540681838989
8,GO,1.1957368850708008,1,0,0,0,295.1141211986542
9,GO,1.091728925704956,1,0,0,0,306.9741439819336
10,NOGO,NA,0,0,1,0,318.9441890716553
11,GO,0.7135391235351562,1,0,0,0,331.5042040348053
12,NOGO,1.6678640842437744,0,0,0,1,342.7542140483856
13,NOGO,1.6323308944702148,0,0,0,1,367.0043001174927
14,NOGO,NA,0,0,1,0,390.84433102607727
15,NOGO,0.8507089614868164,0,0,0,1,405.6343472003937
16,NOGO,NA,0,0,1,0,429.3044810295105
17,NOGO,0.15301895141601562,0,0,0,1,445.71444511413574
18,NOGO,NA,0,0,1,0,469.32449197769165
19,GO,0.7006759643554688,1,0,0,0,486.96455907821655
20,GO,NA,0,1,0,0,497.7845561504364
21,GO,0.3679540157318115,1,0,0,0,510.244597196579
22,NOGO,NA,0,0,1,0,521.3746061325073
23,GO,1.482896089553833,1,0,0,0,533.9046330451965
24,NOGO,NA,0,0,1,0,545.5846960544586
25,GO,0.7464520931243896,1,0,0,0,559.5847220420837
26,NOGO,NA,0,0,1,0,571.7947590351105
27,NOGO,1.5884170532226562,0,0,0,1,583.7747740745544
28,GO,1.2359671592712402,1,0,0,0,636.694904088974
29,GO,1.3652889728546143,1,0,0,0,651.0749251842499
30,NOGO,NA,0,0,1,0,664.4949460029602
31,NOGO,NA,0,0,1,0,676.8249821662903
32,NOGO,NA,0,0,1,0,689.7650091648102
33,GO,0.5620250701904297,1,0,0,0,701.6353731155396
34,GO,1.7454512119293213,1,0,0,0,713.4150450229645
35,NOGO,0.843998908996582,0,0,0,1,725.2750730514526
36,NOGO,NA,0,0,1,0,750.1551291942596
37,NOGO,NA,0,0,1,0,763.3251521587372
38,GO,0.2773139476776123,1,0,0,0,776.3151791095734
39,GO,0.36063289642333984,1,0,0,0,789.1752161979675
40,NOGO,1.4811830520629883,0,0,0,1,800.325266122818
41,GO,0.7687559127807617,1,0,0,0,826.245304107666
42,NOGO,NA,0,0,1,0,836.5353171825409
43,NOGO,1.1110000610351562,0,0,0,1,850.2453529834747
44,GO,1.2750558853149414,1,0,0,0,874.8853931427002
45,GO,1.3116250038146973,1,0,0,0,887.4454290866852
46,NOGO,NA,0,0,1,0,898.3654820919037
47,NOGO,NA,0,0,1,0,910.2655191421509
48,NOGO,1.6710691452026367,0,0,0,1,926.8755421638489
49,NOGO,0.5082640647888184,0,0,0,1,950.8255970478058
50,GO,0.3408510684967041,1,0,0,0,973.8056480884552
51,GO,0.7560830116271973,1,0,0,0,984.3456790447235
52,GO,0.624169111251831,1,0,0,0,996.3956980705261
53,GO,0.3701322078704834,1,0,0,0,1006.875715970993
54,GO,0.5775341987609863,1,0,0,0,1017.0157270431519
55,NOGO,NA,0,0,1,0,1027.4557580947876
56,NOGO,1.3603501319885254,0,0,0,1,1039.2957880496979
57,GO,0.4036839008331299,1,0,0,0,1062.9058411121368
58,NOGO,0.577185869216919,0,0,0,1,1074.3558971881866
59,NOGO,NA,0,0,1,0,1097.1759090423584
60,NOGO,NA,0,0,1,0,1109.8759331703186
61,GO,0.10471296310424805,1,0,0,0,1124.5459880828857
62,GO,0.05105185508728027,1,0,0,0,1134.1659891605377
63,GO,0.9835309982299805,1,0,0,0,1144.736004114151
64,GO,0.669165849685669,1,0,0,0,1155.9060351848602
65,GO,0.1673729419708252,1,0,0,0,1167.286068201065
66,NOGO,0.4777369499206543,0,0,0,1,1176.9560720920563
67,NOGO,NA,0,0,1,0,1200.9761571884155
68,NOGO,0.0879209041595459,0,0,0,1,1213.996327161789
69,GO,0.6478290557861328,1,0,0,0,1236.836233139038
70,NOGO,1.4917280673980713,0,0,0,1,1248.3362641334534
71,NOGO,NA,0,0,1,0,1272.1563119888306
72,NOGO,1.413789987564087,0,0,0,1,1284.0364151000977
73,NOGO,NA,0,0,1,0,1320.1464350223541
74,GO,0.2257070541381836,1,0,0,0,1332.8464541435242
75,GO,NA,0,1,0,0,1356.1365010738373
76,NOGO,1.2864999771118164,0,0,0,1,1452.4767150878906
77,NOGO,NA,0,0,1,0,1476.1867580413818
78,GO,0.3492879867553711,1,0,0,0,1488.4567890167236
79,NOGO,NA,0,0,1,0,1499.8268179893494
80,NOGO,1.6678969860076904,0,0,0,1,1513.5668470859528
81,GO,0.6856670379638672,1,0,0,0,1538.006893157959
82,NOGO,NA,0,0,1,0,1923.8877530097961
83,NOGO,NA,0,0,1,0,1937.747797012329
84,NOGO,NA,0,0,1,0,1950.1478300094604
85,GO,1.9181139469146729,1,0,0,0,1962.0478601455688
86,GO,0.9529988765716553,1,0,0,0,1975.2078711986542
87,GO,0.41075706481933594,1,0,0,0,1988.2779409885406
88,GO,1.0810050964355469,1,0,0,0,2000.0579590797424
89,NOGO,NA,0,0,1,0,2013.6179881095886
90,GO,0.6025261878967285,1,0,0,0,2026.368019104004
91,NOGO,NA,0,0,1,0,2040.4980421066284
92,NOGO,0.2295219898223877,0,0,0,1,2052.3580820560455
93,GO,0.9973299503326416,1,0,0,0,2077.628137111664
94,NOGO,NA,0,0,1,0,2090.5381581783295
95,NOGO,0.7614021301269531,0,0,0,1,2377.1688001155853
96,NOGO,NA,0,0,1,0,2400.7088479995728
97,NOGO,NA,0,0,1,0,2412.968892097473
98,GO,0.8931910991668701,1,0,0,0,2425.2689061164856
99,NOGO,NA,0,0,1,0,2438.048933982849
100,GO,0.3317840099334717,1,0,0,0,2452.438975095749
101,GO,0.22855401039123535,1,0,0,0,2464.9389941692352
102,GO,1.789315938949585,1,0,0,0,2475.1290199756622
103,NOGO,NA,0,0,1,0,2487.2290391921997
104,GO,0.43895816802978516,1,0,0,0,2499.239063024521
105,GO,0.10935401916503906,1,0,0,0,2510.8190879821777
106,GO,0.4009060859680176,1,0,0,0,2522.2091159820557
107,GO,0.12262916564941406,1,0,0,0,2534.209140062332
108,GO,0.7815399169921875,1,0,0,0,2558.1092081069946
109,NOGO,NA,0,0,1,0,2571.1992230415344
110,GO,0.04025697708129883,1,0,0,0,2584.9792470932007
111,NOGO,1.6093389987945557,0,0,0,1,2594.9993150234222
112,NOGO,NA,0,0,1,0,2619.70938706398
113,NOGO,NA,0,0,1,0,2633.4394052028656
114,NOGO,1.737177848815918,0,0,0,1,2646.17941904068
115,NOGO,NA,0,0,1,0,2672.389470100403
116,GO,NA,0,1,0,0,2685.8995010852814
117,GO,1.624910831451416,1,0,0,0,2698.479521036148
118,NOGO,0.7482290267944336,0,0,0,1,2712.3795540332794
119,NOGO,NA,0,0,1,0,2736.3796021938324
120,GO,0.8128149509429932,1,0,0,0,2750.219638109207
121,GO,NA,0,1,0,0,2763.029662132263
122,GO,0.2740628719329834,1,0,0,0,2777.359696149826
123,GO,0.3898000717163086,1,0,0,0,2788.159728050232
124,GO,0.2451629638671875,1,0,0,0,2800.8497581481934
125,GO,0.511944055557251,1,0,0,0,2810.729772090912
126,GO,0.57669997215271,1,0,0,0,2822.4897911548615
127,NOGO,NA,0,0,1,0,2833.5098280906677
128,NOGO,1.6429190635681152,0,0,0,1,2846.5898451805115
129,GO,0.4877190589904785,1,0,0,0,2870.5999031066895
130,NOGO,1.2535400390625,0,0,0,1,2882.9299190044403
131,NOGO,0.4000968933105469,0,0,0,1,2906.5100090503693
132,NOGO,1.309295892715454,0,0,0,1,2929.270050048828
133,GO,0.8559129238128662,1,0,0,0,2952.7901091575623
134,NOGO,0.025239944458007812,0,0,0,1,2965.6201651096344
135,NOGO,0.5053138732910156,0,0,0,1,2987.950184106827
136,NOGO,0.04034900665283203,0,0,0,1,3011.430233001709
137,NOGO,NA,0,0,1,0,3033.8202760219574
138,NOGO,1.9175739288330078,0,0,0,1,3051.1103150844574
139,NOGO,NA,0,0,1,0,3078.790374994278
140,GO,1.8806431293487549,1,0,0,0,3091.9804010391235
141,NOGO,1.6281099319458008,0,0,0,1,3105.41042804718
142,GO,0.34714198112487793,1,0,0,0,3129.140480041504
143,GO,0.17394685745239258,1,0,0,0,3141.41051197052
144,NOGO,0.8907899856567383,0,0,0,1,3152.720530986786
145,NOGO,NA,0,0,1,0,3177.460576057434
146,NOGO,1.91910719871521,0,0,0,1,3190.390609025955
147,NOGO,0.9241070747375488,0,0,0,1,3590.571511030197
148,GO,0.1486809253692627,1,0,0,0,3617.131607055664
149,GO,NA,0,1,0,0,3656.5016911029816
150,GO,NA,0,1,0,0,3760.901929140091
151,GO,1.2490789890289307,1,0,0,0,3772.981945037842
152,GO,0.61102294921875,1,0,0,0,3786.1719720363617
153,NOGO,NA,0,0,1,0,3797.6620831489563
154,GO,0.3181138038635254,1,0,0,0,3809.942111968994
155,GO,0.5131509304046631,1,0,0,0,3821.192146062851
156,NOGO,0.774226188659668,0,0,0,1,3831.8021380901337
157,NOGO,NA,0,0,1,0,3857.0521850585938
