Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start,Stimulus
1,NOGO,NA,0,0,1,0,12.686614990234375,Song1Pk43(-9.5)63db.wav
2,NOGO,NA,0,0,1,0,46.8966109752655,Song1Pk43(-9.5)63db.wav
3,GO,0,1,0,0,0,201.25679683685303,Song2Pea30(-5.5)63db.wav
4,NOGO,0.43547487258911133,0,0,0,1,291.186607837677,Song1Pk43(-9.5)63db.wav
5,GO,NA,0,1,0,0,587.1566109657288,Song2Pea30(-5.5)63db.wav
6,GO,0,1,0,0,0,722.2065958976746,Song2Pea30(-5.5)63db.wav
7,GO,0,1,0,0,0,808.5366158485413,Song2Pea30(-5.5)63db.wav
8,GO,NA,0,1,0,0,862.526645898819,Song2Pea30(-5.5)63db.wav
9,NOGO,1.0242350101470947,0,0,0,1,1268.3465960025787,Song1Pk43(-9.5)63db.wav
10,NOGO,1.1551401615142822,0,0,0,1,1448.3365788459778,Song1Pk43(-9.5)63db.wav
11,NOGO,NA,0,0,1,0,1498.4565968513489,Song1Pk43(-9.5)63db.wav
12,NOGO,0.9496080875396729,0,0,0,1,1662.5566279888153,Song1Pk43(-9.5)63db.wav
13,GO,NA,0,1,0,0,1694.8665869235992,Song2Pea30(-5.5)63db.wav
14,GO,NA,0,1,0,0,1709.7266159057617,Song2Pea30(-5.5)63db.wav
15,GO,1.384552001953125,1,0,0,0,1758.906594991684,Song2Pea30(-5.5)63db.wav
16,NOGO,NA,0,0,1,0,1799.4465868473053,Song1Pk43(-9.5)63db.wav
17,NOGO,NA,0,0,1,0,1853.2666318416595,Song1Pk43(-9.5)63db.wav
18,GO,NA,0,1,0,0,1880.9465959072113,Song2Pea30(-5.5)63db.wav
19,GO,NA,0,1,0,0,2544.996617794037,Song2Pea30(-5.5)63db.wav
20,GO,NA,0,1,0,0,2912.5566458702087,Song2Pea30(-5.5)63db.wav
21,GO,0,1,0,0,0,3435.3565979003906,Song2Pea30(-5.5)63db.wav
22,NOGO,NA,0,0,1,0,3840.39662194252,Song1Pk43(-9.5)63db.wav
23,GO,NA,0,1,0,0,4057.3466119766235,Song2Pea30(-5.5)63db.wav
24,NOGO,NA,0,0,1,0,4995.286593914032,Song1Pk43(-9.5)63db.wav
25,GO,NA,0,1,0,0,5010.036586999893,Song2Pea30(-5.5)63db.wav
26,NOGO,NA,0,0,1,0,5027.596599817276,Song1Pk43(-9.5)63db.wav
27,GO,NA,0,1,0,0,5040.546611785889,Song2Pea30(-5.5)63db.wav
28,GO,NA,0,1,0,0,5176.2665939331055,Song2Pea30(-5.5)63db.wav
29,NOGO,NA,0,0,1,0,5261.926592826843,Song1Pk43(-9.5)63db.wav
30,NOGO,NA,0,0,1,0,5428.956604957581,Song1Pk43(-9.5)63db.wav
31,NOGO,NA,0,0,1,0,5637.73658490181,Song1Pk43(-9.5)63db.wav
32,NOGO,NA,0,0,1,0,5672.216578960419,Song1Pk43(-9.5)63db.wav
33,NOGO,NA,0,0,1,0,5742.626605987549,Song1Pk43(-9.5)63db.wav
34,GO,NA,0,1,0,0,5962.906585931778,Song2Pea30(-5.5)63db.wav
35,GO,0.4412050247192383,1,0,0,0,6161.78658080101,Song2Pea30(-5.5)63db.wav
36,NOGO,NA,0,0,1,0,6488.736617803574,Song1Pk43(-9.5)63db.wav
37,NOGO,NA,0,0,1,0,6671.936595916748,Song1Pk43(-9.5)63db.wav
38,NOGO,NA,0,0,1,0,7091.446580886841,Song1Pk43(-9.5)63db.wav
39,NOGO,NA,0,0,1,0,7109.896598815918,Song1Pk43(-9.5)63db.wav
40,GO,NA,0,1,0,0,7151.526602983475,Song2Pea30(-5.5)63db.wav
41,GO,NA,0,1,0,0,7208.2466077804565,Song2Pea30(-5.5)63db.wav
42,NOGO,NA,0,0,1,0,7229.936598777771,Song1Pk43(-9.5)63db.wav
43,GO,NA,0,1,0,0,7406.06659078598,Song2Pea30(-5.5)63db.wav
44,GO,NA,0,1,0,0,7583.646593809128,Song2Pea30(-5.5)63db.wav
45,NOGO,NA,0,0,1,0,7626.556809902191,Song1Pk43(-9.5)63db.wav
46,GO,NA,0,1,0,0,7816.726616859436,Song2Pea30(-5.5)63db.wav
47,NOGO,NA,0,0,1,0,7941.466584920883,Song1Pk43(-9.5)63db.wav
48,NOGO,NA,0,0,1,0,8007.486603975296,Song1Pk43(-9.5)63db.wav
49,NOGO,NA,0,0,1,0,8029.876621007919,Song1Pk43(-9.5)63db.wav
50,GO,NA,0,1,0,0,8217.846602916718,Song2Pea30(-5.5)63db.wav
51,GO,NA,0,1,0,0,8284.146652936935,Song2Pea30(-5.5)63db.wav
52,GO,NA,0,1,0,0,8426.946626901627,Song2Pea30(-5.5)63db.wav
53,GO,0,1,0,0,0,11602.516616821289,Song2Pea30(-5.5)63db.wav
54,NOGO,NA,0,0,1,0,11632.936581850052,Song1Pk43(-9.5)63db.wav
55,NOGO,NA,0,0,1,0,12809.456613779068,Song1Pk43(-9.5)63db.wav
56,NOGO,NA,0,0,1,0,12868.546598911285,Song1Pk43(-9.5)63db.wav
57,NOGO,NA,0,0,1,0,12882.066574811935,Song1Pk43(-9.5)63db.wav
58,GO,NA,0,1,0,0,13305.336592912674,Song2Pea30(-5.5)63db.wav
59,NOGO,NA,0,0,1,0,13332.546597957611,Song1Pk43(-9.5)63db.wav
60,GO,NA,0,1,0,0,14184.186605930328,Song2Pea30(-5.5)63db.wav
61,NOGO,NA,0,0,1,0,16018.41660785675,Song1Pk43(-9.5)63db.wav
