Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start,Stimulus
1,GO,0.302249908,1,0,0,0,7.731742144,Song2Pea30(-5.5)63db.wav
2,NOGO,NA,0,0,1,0,10.00611496,Song1Pk43(-9.5)63db.wav
3,NOGO,NA,0,0,1,0,28.13170695,Song1Pk43(-9.5)63db.wav
4,GO,0,1,0,0,0,42.18173599,Song2Pea30(-5.5)63db.wav
5,NOGO,0,0,0,0,1,24.07606387,Song1Pk43(-9.5)63db.wav
6,NOGO,0.50722909,0,0,0,1,60.08175898,Song1Pk43(-9.5)63db.wav
7,NOGO,NA,0,0,1,0,57.96610284,Song1Pk43(-9.5)63db.wav
8,GO,0,1,0,0,0,90.76179218,Song2Pea30(-5.5)63db.wav
9,GO,0,1,0,0,0,72.64627099,Song2Pea30(-5.5)63db.wav
10,NOGO,0.070655107,0,0,0,1,128.7617521,Song1Pk43(-9.5)63db.wav
11,NOGO,0.070562124,0,0,0,1,110.646209,Song1Pk43(-9.5)63db.wav
12,NOGO,0.175111771,0,0,0,1,243.7361391,Song1Pk43(-9.5)63db.wav
13,NOGO,0.175006866,0,0,0,1,261.8518991,Song1Pk43(-9.5)63db.wav
14,GO,0.453922033,1,0,0,0,908.516304,Song2Pea30(-5.5)63db.wav
15,GO,0.453941822,1,0,0,0,926.6319151,Song2Pea30(-5.5)63db.wav
16,GO,NA,0,1,0,0,929.396131,Song2Pea30(-5.5)63db.wav
17,NOGO,NA,0,0,1,0,947.5217152,Song1Pk43(-9.5)63db.wav
18,GO,0.483748913,1,0,0,0,965.8318682,Song2Pea30(-5.5)63db.wav
19,GO,0.483723879,1,0,0,0,947.7162559,Song2Pea30(-5.5)63db.wav
20,GO,0.00552702,1,0,0,0,1028.986162,Song2Pea30(-5.5)63db.wav
21,GO,0,1,0,0,0,1047.111752,Song2Pea30(-5.5)63db.wav
22,NOGO,0.791996956,0,0,0,1,1045.466227,Song1Pk43(-9.5)63db.wav
23,NOGO,0.792103052,0,0,0,1,1063.581757,Song1Pk43(-9.5)63db.wav
24,NOGO,0,0,0,0,1,1098.526118,Song1Pk43(-9.5)63db.wav
25,NOGO,0,0,0,0,1,1116.653835,Song1Pk43(-9.5)63db.wav
26,NOGO,NA,0,0,1,0,1298.341922,Song1Pk43(-9.5)63db.wav
27,NOGO,NA,0,0,1,0,1280.22615,Song1Pk43(-9.5)63db.wav
28,NOGO,0,0,0,0,1,1491.36612,Song1Pk43(-9.5)63db.wav
29,NOGO,0,0,0,0,1,1509.493835,Song1Pk43(-9.5)63db.wav
30,GO,0.391455889,1,0,0,0,1537.151677,Song2Pea30(-5.5)63db.wav
31,NOGO,0.40139699,0,0,0,1,1519.026081,Song1Pk43(-9.5)63db.wav
32,GO,0.311216116,1,0,0,0,1554.091745,Song2Pea30(-5.5)63db.wav
33,GO,0.662571192,1,0,0,0,1561.216079,Song2Pea30(-5.5)63db.wav
34,GO,0.672492981,1,0,0,0,1579.321794,Song2Pea30(-5.5)63db.wav
35,GO,NA,0,1,0,0,2126.906148,Song2Pea30(-5.5)63db.wav
36,GO,0,1,0,0,0,2832.236253,Song2Pea30(-5.5)63db.wav
