Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start
1,NOGO,NA,0,0,1,0,2584.3363919258118
2,NOGO,0.5397040843963623,0,0,0,1,2609.126456975937
3,NOGO,0,0,0,0,1,2641.426523923874
4,NOGO,1.0774378776550293,0,0,0,1,2686.2566180229187
5,GO,0.8474640846252441,1,0,0,0,2710.026659011841
6,GO,0.7878780364990234,1,0,0,0,2777.776820898056
7,GO,NA,0,1,0,0,2824.9969210624695
8,GO,0.3171501159667969,1,0,0,0,2967.787279844284
9,GO,0.6123590469360352,1,0,0,0,3040.907413005829
10,GO,0.48420119285583496,1,0,0,0,4223.690070867538
11,GO,1.3499400615692139,1,0,0,0,4296.620307922363
12,GO,NA,0,1,0,0,4560.440824985504
13,NOGO,0.9630100727081299,0,0,0,1,4580.570868968964
14,NOGO,0.5834009647369385,0,0,0,1,4640.161005973816
15,GO,0.25240612030029297,1,0,0,0,4697.33113694191
16,NOGO,1.916024923324585,0,0,0,1,5318.462525844574
17,GO,1.249767780303955,1,0,0,0,5353.772611856461
18,NOGO,1.3521671295166016,0,0,0,1,5389.112685918808
19,NOGO,0,0,0,0,1,5541.943059921265
20,GO,0.13094782829284668,1,0,0,0,5679.763367891312
21,GO,0.35531115531921387,1,0,0,0,5850.063742876053
22,GO,0.4801790714263916,1,0,0,0,5912.903878927231
23,NOGO,1.277919054031372,0,0,0,1,5968.544002056122
24,GO,1.8240020275115967,1,0,0,0,6337.734837055206
25,NOGO,NA,0,0,1,0,6687.915642023087
26,NOGO,1.0966689586639404,0,0,0,1,6842.56597495079
27,GO,0.5442800521850586,1,0,0,0,6918.156143903732
28,GO,0.5915019512176514,1,0,0,0,7203.716778993607
29,NOGO,NA,0,0,1,0,7247.336876869202
30,GO,0.598240852355957,1,0,0,0,7286.636970043182
31,GO,0.47597289085388184,1,0,0,0,7486.397402048111
32,GO,0.005146026611328125,1,0,0,0,7587.177692890167
33,GO,0.7575139999389648,1,0,0,0,7688.047899007797
34,NOGO,0.10769200325012207,0,0,0,1,7733.917997837067
35,NOGO,1.1083309650421143,0,0,0,1,7771.2980489730835
